cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
10_sub0	0	1	1	0	0	0	1	0
10_sub1	0	1	0	1	0	0	0	1
10_sub2	0	4	2	2	0	0	2	2
10_sub3	0	1	0	1	0	0	0	1
1001_sub0	1	7	3	4	3	4	0	0
10036_sub0	0	1	1	0	0	0	1	0
10036_sub1	0	1	0	1	0	0	0	1
10036_sub2	0	3	1	2	0	0	1	2
10036_sub3	0	1	1	0	0	0	1	0
1006_sub0	1	6	4	2	4	2	0	0
1006_sub1	0	1	0	1	0	0	0	1
1009_sub0	0	1	0	1	0	0	0	1
1009_sub1	0	5	2	3	0	0	2	3
101_sub0	0	1	1	0	0	0	1	0
101_sub1	0	1	0	1	0	0	0	1
101_sub2	0	4	3	1	0	0	3	1
101_sub3	0	1	0	1	0	0	0	1
101_sub4	0	1	0	1	0	0	0	1
101_sub5	0	1	0	1	0	0	0	1
1015_sub0	0	1	1	0	0	0	1	0
1015_sub1	0	1	0	1	0	0	0	1
1015_sub2	0	1	1	0	0	0	1	0
1015_sub3	0	5	2	3	0	0	2	3
1026_sub0	0	1	0	1	0	0	0	1
1026_sub1	0	5	3	2	0	0	3	2
1029_sub0	0	5	1	4	0	0	1	4
1029_sub1	0	1	0	1	0	0	0	1
1029_sub2	0	1	1	0	0	0	1	0
1039_sub0	0	1	0	1	0	0	0	1
1039_sub1	0	5	3	2	0	0	3	2
1039_sub2	0	1	1	0	0	0	1	0
10481_sub0	1	7	5	2	5	2	0	0
10524_sub0	0	2	1	1	0	0	1	1
10524_sub1	0	1	1	0	0	0	1	0
10524_sub2	0	1	1	0	0	0	1	0
10524_sub3	0	1	0	1	0	0	0	1
10524_sub4	0	1	0	1	0	0	0	1
1054_sub0	1	6	5	1	5	1	0	0
1058_sub0	1	7	4	3	4	3	0	0
1058_sub1	0	1	1	0	0	0	1	0
1058_sub2	0	1	0	1	0	0	0	1
1058_sub3	0	1	1	0	0	0	1	0
10681_sub0	1	7	3	4	3	4	0	0
10681_sub1	0	1	1	0	0	0	1	0
10681_sub2	0	1	1	0	0	0	1	0
10730_sub0	0	1	0	1	0	0	0	1
10730_sub1	0	4	1	3	0	0	1	3
10730_sub2	0	1	0	1	0	0	0	1
10785_sub0	0	5	0	5	0	0	0	5
10785_sub1	0	1	0	1	0	0	0	1
1079_sub0	0	1	1	0	0	0	1	0
1079_sub1	0	1	0	1	0	0	0	1
1079_sub2	1	9	4	5	4	5	0	0
1084_sub0	0	4	1	3	0	0	1	3
1084_sub1	0	1	1	0	0	0	1	0
1084_sub2	0	1	1	0	0	0	1	0
1086_sub0	0	1	0	1	0	0	0	1
1086_sub1	0	5	1	4	0	0	1	4
1086_sub2	0	1	1	0	0	0	1	0
1086_sub3	0	1	0	1	0	0	0	1
1095_sub0	1	8	5	3	5	3	0	0
1098_sub0	0	1	1	0	0	0	1	0
1098_sub1	1	6	2	4	2	4	0	0
110_sub0	0	1	1	0	0	0	1	0
110_sub1	1	6	2	4	2	4	0	0
110_sub2	0	1	0	1	0	0	0	1
110_sub3	0	1	1	0	0	0	1	0
110_sub4	0	1	1	0	0	0	1	0
110_sub5	0	1	0	1	0	0	0	1
110_sub6	0	1	0	1	0	0	0	1
111_sub0	0	1	1	0	0	0	1	0
111_sub1	0	1	0	1	0	0	0	1
111_sub2	1	7	2	5	2	5	0	0
111_sub3	0	1	0	1	0	0	0	1
1110_sub0	0	1	0	1	0	0	0	1
1110_sub1	1	6	3	3	3	3	0	0
1110_sub2	0	1	1	0	0	0	1	0
1112_sub0	0	5	3	2	0	0	3	2
1112_sub1	0	1	0	1	0	0	0	1
1114_sub0	0	3	1	2	0	0	1	2
1114_sub1	0	1	1	0	0	0	1	0
1114_sub2	0	1	0	1	0	0	0	1
1114_sub3	0	1	1	0	0	0	1	0
1123_sub0	1	7	3	4	3	4	0	0
1123_sub1	0	1	1	0	0	0	1	0
1123_sub2	0	1	1	0	0	0	1	0
1130_sub0	1	7	2	5	2	5	0	0
1130_sub1	0	1	0	1	0	0	0	1
1131_sub0	0	4	2	2	0	0	2	2
1131_sub1	0	1	1	0	0	0	1	0
1131_sub2	0	1	0	1	0	0	0	1
1135_sub0	0	5	0	5	0	0	0	5
1135_sub1	0	1	1	0	0	0	1	0
114_sub0	0	1	1	0	0	0	1	0
114_sub1	1	6	3	3	3	3	0	0
11426_sub0	0	4	3	1	0	0	3	1
11426_sub1	0	1	0	1	0	0	0	1
11426_sub2	0	1	1	0	0	0	1	0
1144_sub0	0	1	0	1	0	0	0	1
1144_sub1	0	1	1	0	0	0	1	0
1144_sub2	0	1	1	0	0	0	1	0
1144_sub3	0	1	0	1	0	0	0	1
1144_sub4	0	1	1	0	0	0	1	0
1144_sub5	0	1	1	0	0	0	1	0
1144_sub6	0	1	0	1	0	0	0	1
11486_sub0	0	1	0	1	0	0	0	1
11486_sub1	0	1	1	0	0	0	1	0
11486_sub2	0	1	1	0	0	0	1	0
11486_sub3	0	1	1	0	0	0	1	0
11486_sub4	0	1	1	0	0	0	1	0
11486_sub5	0	1	1	0	0	0	1	0
11486_sub6	0	1	1	0	0	0	1	0
1150_sub0	0	5	2	3	0	0	2	3
1150_sub1	0	1	0	1	0	0	0	1
1150_sub2	0	1	0	1	0	0	0	1
1150_sub3	0	1	1	0	0	0	1	0
1150_sub4	0	1	1	0	0	0	1	0
1151_sub0	1	6	4	2	4	2	0	0
1151_sub1	0	1	0	1	0	0	0	1
1151_sub2	0	1	0	1	0	0	0	1
1153_sub0	0	1	0	1	0	0	0	1
1153_sub1	0	5	3	2	0	0	3	2
1157_sub0	1	9	3	6	3	6	0	0
1157_sub1	0	1	0	1	0	0	0	1
1157_sub2	0	1	0	1	0	0	0	1
11585_sub0	0	3	1	2	0	0	1	2
11585_sub1	0	1	0	1	0	0	0	1
11585_sub2	0	1	0	1	0	0	0	1
11585_sub3	0	1	1	0	0	0	1	0
1162_sub0	0	1	0	1	0	0	0	1
1162_sub1	1	6	3	3	3	3	0	0
1162_sub2	0	1	0	1	0	0	0	1
1162_sub3	0	1	0	1	0	0	0	1
11625_sub0	0	5	3	2	0	0	3	2
11625_sub1	0	1	0	1	0	0	0	1
11674_sub0	0	1	1	0	0	0	1	0
11674_sub1	0	4	3	1	0	0	3	1
11674_sub2	0	1	0	1	0	0	0	1
11674_sub3	0	1	0	1	0	0	0	1
11707_sub0	1	6	3	3	3	3	0	0
1176_sub0	0	5	2	3	0	0	2	3
1176_sub1	0	1	0	1	0	0	0	1
1176_sub2	0	1	1	0	0	0	1	0
1176_sub3	0	1	0	1	0	0	0	1
1184_sub0	0	1	1	0	0	0	1	0
1184_sub1	1	7	5	2	5	2	0	0
1186_sub0	1	6	3	3	3	3	0	0
1186_sub1	0	1	0	1	0	0	0	1
1186_sub2	0	1	0	1	0	0	0	1
1186_sub3	0	1	0	1	0	0	0	1
12020_sub0	0	1	1	0	0	0	1	0
12020_sub1	0	2	1	1	0	0	1	1
12020_sub2	0	1	0	1	0	0	0	1
12020_sub3	0	1	1	0	0	0	1	0
12020_sub4	0	1	0	1	0	0	0	1
121_sub0	0	1	1	0	0	0	1	0
121_sub1	1	6	1	5	1	5	0	0
121_sub2	0	1	0	1	0	0	0	1
121_sub3	0	1	0	1	0	0	0	1
1211_sub0	0	1	0	1	0	0	0	1
1211_sub1	0	1	1	0	0	0	1	0
1211_sub2	0	5	3	2	0	0	3	2
1211_sub3	0	1	0	1	0	0	0	1
1229_sub0	1	8	6	2	6	2	0	0
1229_sub1	0	1	0	1	0	0	0	1
1229_sub2	0	1	0	1	0	0	0	1
123_sub0	0	1	1	0	0	0	1	0
123_sub1	0	5	3	2	0	0	3	2
123_sub2	0	1	0	1	0	0	0	1
12342_sub0	0	1	0	1	0	0	0	1
12342_sub1	0	1	0	1	0	0	0	1
12342_sub2	1	10	6	4	6	4	0	0
1235_sub0	1	7	3	4	3	4	0	0
1235_sub1	0	1	0	1	0	0	0	1
1238_sub0	0	5	4	1	0	0	4	1
1238_sub1	0	1	1	0	0	0	1	0
1238_sub2	0	1	0	1	0	0	0	1
1252_sub0	0	1	0	1	0	0	0	1
1252_sub1	0	1	0	1	0	0	0	1
1252_sub2	1	6	1	5	1	5	0	0
1252_sub3	0	1	0	1	0	0	0	1
1257_sub0	0	1	0	1	0	0	0	1
1257_sub1	0	4	0	4	0	0	0	4
1257_sub2	0	1	0	1	0	0	0	1
12579_sub0	0	1	1	0	0	0	1	0
12579_sub1	0	1	1	0	0	0	1	0
12579_sub2	0	4	1	3	0	0	1	3
126_sub0	0	1	1	0	0	0	1	0
126_sub1	0	1	0	1	0	0	0	1
126_sub2	0	4	4	0	0	0	4	0
126_sub3	0	1	1	0	0	0	1	0
12659_sub0	0	5	4	1	0	0	4	1
12659_sub1	0	1	0	1	0	0	0	1
1267_sub0	0	5	2	3	0	0	2	3
1267_sub1	0	1	1	0	0	0	1	0
1275_sub0	0	5	2	3	0	0	2	3
1275_sub1	0	1	0	1	0	0	0	1
1278_sub0	1	8	4	4	4	4	0	0
1278_sub1	0	1	1	0	0	0	1	0
1278_sub2	0	1	0	1	0	0	0	1
1278_sub3	0	1	0	1	0	0	0	1
128_sub0	0	1	1	0	0	0	1	0
128_sub1	0	5	3	2	0	0	3	2
1281_sub0	0	1	0	1	0	0	0	1
1281_sub1	0	2	2	0	0	0	2	0
1281_sub2	0	1	1	0	0	0	1	0
1281_sub3	0	1	1	0	0	0	1	0
1281_sub4	0	1	0	1	0	0	0	1
1281_sub5	0	1	0	1	0	0	0	1
1284_sub0	0	4	2	2	0	0	2	2
1284_sub1	0	1	1	0	0	0	1	0
1284_sub2	0	1	1	0	0	0	1	0
1290_sub0	0	1	0	1	0	0	0	1
1290_sub1	0	1	1	0	0	0	1	0
1290_sub2	0	1	0	1	0	0	0	1
1290_sub3	0	1	0	1	0	0	0	1
1290_sub4	0	1	0	1	0	0	0	1
1290_sub5	0	1	0	1	0	0	0	1
1293_sub0	0	1	0	1	0	0	0	1
1293_sub1	0	5	2	3	0	0	2	3
1293_sub2	0	1	1	0	0	0	1	0
1293_sub3	0	1	1	0	0	0	1	0
1294_sub0	0	5	1	4	0	0	1	4
1294_sub1	0	1	0	1	0	0	0	1
1295_sub0	1	6	2	4	2	4	0	0
1295_sub1	0	1	1	0	0	0	1	0
1295_sub2	0	1	1	0	0	0	1	0
1295_sub3	0	1	1	0	0	0	1	0
1303_sub0	1	6	2	4	2	4	0	0
1303_sub1	0	1	1	0	0	0	1	0
1309_sub0	0	1	1	0	0	0	1	0
1309_sub1	0	4	3	1	0	0	3	1
1309_sub2	0	1	1	0	0	0	1	0
1314_sub0	0	5	2	3	0	0	2	3
1314_sub1	0	1	1	0	0	0	1	0
1321_sub0	0	1	1	0	0	0	1	0
1321_sub1	0	4	0	4	0	0	0	4
1321_sub2	0	1	0	1	0	0	0	1
1321_sub3	0	1	0	1	0	0	0	1
1321_sub4	0	1	0	1	0	0	0	1
1322_sub0	0	4	1	3	0	0	1	3
1322_sub1	0	1	1	0	0	0	1	0
1322_sub2	0	1	0	1	0	0	0	1
1322_sub3	0	1	1	0	0	0	1	0
1335_sub0	1	6	4	2	4	2	0	0
1335_sub1	0	1	0	1	0	0	0	1
1344_sub0	1	10	2	8	2	8	0	0
1344_sub1	0	1	0	1	0	0	0	1
1344_sub2	0	1	0	1	0	0	0	1
1344_sub3	0	1	0	1	0	0	0	1
1344_sub4	0	1	0	1	0	0	0	1
1344_sub5	0	1	1	0	0	0	1	0
1345_sub0	0	5	2	3	0	0	2	3
1345_sub1	0	1	1	0	0	0	1	0
1345_sub2	0	1	1	0	0	0	1	0
1345_sub3	0	1	1	0	0	0	1	0
1345_sub4	0	1	1	0	0	0	1	0
1345_sub5	0	1	0	1	0	0	0	1
1345_sub6	0	1	0	1	0	0	0	1
1345_sub7	0	1	0	1	0	0	0	1
1346_sub0	0	1	1	0	0	0	1	0
1346_sub1	0	1	1	0	0	0	1	0
1346_sub2	1	7	4	3	4	3	0	0
1346_sub3	0	1	1	0	0	0	1	0
1346_sub4	0	1	1	0	0	0	1	0
1358_sub0	0	5	3	2	0	0	3	2
1358_sub1	0	1	1	0	0	0	1	0
1358_sub2	0	1	0	1	0	0	0	1
1365_sub0	0	1	0	1	0	0	0	1
1365_sub1	1	9	4	5	4	5	0	0
1365_sub2	0	1	1	0	0	0	1	0
1366_sub0	1	8	3	5	3	5	0	0
1366_sub1	0	1	1	0	0	0	1	0
1368_sub0	0	4	2	2	0	0	2	2
1368_sub1	0	1	0	1	0	0	0	1
1368_sub2	0	1	0	1	0	0	0	1
138_sub0	0	1	1	0	0	0	1	0
138_sub1	0	5	3	2	0	0	3	2
1383_sub0	0	5	5	0	0	0	5	0
1383_sub1	0	1	0	1	0	0	0	1
1383_sub2	0	1	0	1	0	0	0	1
1383_sub3	0	1	0	1	0	0	0	1
1387_sub0	1	9	4	5	4	5	0	0
1387_sub1	0	1	1	0	0	0	1	0
1387_sub2	0	1	1	0	0	0	1	0
1396_sub0	0	3	1	2	0	0	1	2
1396_sub1	0	1	0	1	0	0	0	1
1396_sub2	0	1	0	1	0	0	0	1
1396_sub3	0	1	0	1	0	0	0	1
1396_sub4	0	1	0	1	0	0	0	1
1405_sub0	0	1	0	1	0	0	0	1
1405_sub1	0	1	1	0	0	0	1	0
1405_sub2	0	4	3	1	0	0	3	1
1405_sub3	0	1	1	0	0	0	1	0
1406_sub0	0	1	1	0	0	0	1	0
1406_sub1	1	8	3	5	3	5	0	0
1407_sub0	0	4	3	1	0	0	3	1
1407_sub1	0	1	1	0	0	0	1	0
1407_sub2	0	1	1	0	0	0	1	0
1412_sub0	1	7	5	2	5	2	0	0
1412_sub1	0	1	0	1	0	0	0	1
1412_sub2	0	1	0	1	0	0	0	1
1412_sub3	0	1	1	0	0	0	1	0
1412_sub4	0	1	0	1	0	0	0	1
1420_sub0	0	4	1	3	0	0	1	3
1420_sub1	0	1	1	0	0	0	1	0
1420_sub2	0	1	0	1	0	0	0	1
1434_sub0	0	1	1	0	0	0	1	0
1434_sub1	1	6	3	3	3	3	0	0
1446_sub0	0	4	1	3	0	0	1	3
1446_sub1	0	1	1	0	0	0	1	0
1446_sub2	0	1	0	1	0	0	0	1
1446_sub3	0	1	1	0	0	0	1	0
1455_sub0	0	1	1	0	0	0	1	0
1455_sub1	0	1	1	0	0	0	1	0
1455_sub2	1	6	4	2	4	2	0	0
1455_sub3	0	1	0	1	0	0	0	1
1459_sub0	0	1	1	0	0	0	1	0
1459_sub1	0	5	4	1	0	0	4	1
1459_sub2	0	1	1	0	0	0	1	0
1459_sub3	0	1	0	1	0	0	0	1
1459_sub4	0	1	0	1	0	0	0	1
1465_sub0	1	7	6	1	6	1	0	0
1466_sub0	0	1	1	0	0	0	1	0
1466_sub1	0	1	0	1	0	0	0	1
1466_sub2	0	3	1	2	0	0	1	2
1466_sub3	0	1	1	0	0	0	1	0
1475_sub0	0	5	1	4	0	0	1	4
1475_sub1	0	1	0	1	0	0	0	1
1482_sub0	0	1	0	1	0	0	0	1
1482_sub1	1	7	4	3	4	3	0	0
1489_sub0	0	1	0	1	0	0	0	1
1489_sub1	0	5	5	0	0	0	5	0
1489_sub2	0	1	0	1	0	0	0	1
1489_sub3	0	1	1	0	0	0	1	0
1489_sub4	0	1	1	0	0	0	1	0
1489_sub5	0	1	1	0	0	0	1	0
1499_sub0	0	1	1	0	0	0	1	0
1499_sub1	0	4	1	3	0	0	1	3
1499_sub2	0	1	1	0	0	0	1	0
1499_sub3	0	1	1	0	0	0	1	0
15_sub0	0	1	1	0	0	0	1	0
15_sub1	0	1	1	0	0	0	1	0
15_sub2	0	3	1	2	0	0	1	2
15_sub3	0	1	1	0	0	0	1	0
1511_sub0	0	1	0	1	0	0	0	1
1511_sub1	0	1	0	1	0	0	0	1
1511_sub2	0	1	0	1	0	0	0	1
1511_sub3	0	3	2	1	0	0	2	1
1512_sub0	1	8	3	5	3	5	0	0
1512_sub1	0	1	0	1	0	0	0	1
1520_sub0	1	13	1	12	1	12	0	0
1520_sub1	0	1	0	1	0	0	0	1
1520_sub2	0	1	1	0	0	0	1	0
1520_sub3	0	1	0	1	0	0	0	1
1527_sub0	0	5	1	4	0	0	1	4
1527_sub1	0	1	1	0	0	0	1	0
15390_sub0	1	7	4	3	4	3	0	0
1542_sub0	0	1	1	0	0	0	1	0
1542_sub1	0	5	2	3	0	0	2	3
1542_sub2	0	1	0	1	0	0	0	1
1542_sub3	0	1	0	1	0	0	0	1
1542_sub4	0	1	0	1	0	0	0	1
1542_sub5	0	1	0	1	0	0	0	1
1547_sub0	0	5	4	1	0	0	4	1
1547_sub1	0	1	0	1	0	0	0	1
155_sub0	0	1	0	1	0	0	0	1
155_sub1	1	7	2	5	2	5	0	0
155_sub2	0	1	0	1	0	0	0	1
155_sub3	0	1	0	1	0	0	0	1
155_sub4	0	1	1	0	0	0	1	0
155_sub5	0	1	1	0	0	0	1	0
15629_sub0	1	9	7	2	7	2	0	0
15629_sub1	0	1	1	0	0	0	1	0
1563_sub0	1	6	3	3	3	3	0	0
1563_sub1	0	1	1	0	0	0	1	0
15634_sub0	1	6	3	3	3	3	0	0
1566_sub0	1	9	4	5	4	5	0	0
15666_sub0	0	5	1	4	0	0	1	4
15666_sub1	0	1	0	1	0	0	0	1
1568_sub0	0	1	0	1	0	0	0	1
1568_sub1	1	6	4	2	4	2	0	0
1569_sub0	0	5	3	2	0	0	3	2
1569_sub1	0	1	1	0	0	0	1	0
1571_sub0	0	1	0	1	0	0	0	1
1571_sub1	0	4	1	3	0	0	1	3
1571_sub2	0	1	1	0	0	0	1	0
15748_sub0	0	1	1	0	0	0	1	0
15748_sub1	0	4	1	3	0	0	1	3
15748_sub2	0	1	0	1	0	0	0	1
1579_sub0	0	1	0	1	0	0	0	1
1579_sub1	1	6	3	3	3	3	0	0
1579_sub2	0	1	1	0	0	0	1	0
1579_sub3	0	1	1	0	0	0	1	0
1586_sub0	1	8	4	4	4	4	0	0
1586_sub1	0	1	0	1	0	0	0	1
1586_sub2	0	1	0	1	0	0	0	1
1586_sub3	0	1	0	1	0	0	0	1
1587_sub0	0	1	0	1	0	0	0	1
