sample	target	n_cluster	task_index
barcode72	lpa5104	527	63
barcode69	lpa5104	410	65
barcode65	lpa5104	996	66
barcode66	lpa5104	797	67
barcode70	lpa5104	847	68
barcode67	lpa5104	951	69
barcode68	lpa5104	1135	70
barcode71	lpa5104	918	71
