sample	target	n_cluster	task_index
barcode66	lpa5104	2	2
barcode67	lpa5104	0	3
barcode71	lpa5104	1	4
barcode72	lpa5104	0	5
barcode69	lpa5104	0	6
barcode68	lpa5104	3	7
barcode65	lpa5104	5	8
