cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
1000_sub0	0	5	2	3	0	0	2	3
1000_sub1	0	1	0	1	0	0	0	1
1008_sub0	0	3	2	1	0	0	2	1
1008_sub1	0	1	0	1	0	0	0	1
1008_sub2	0	1	0	1	0	0	0	1
1008_sub3	0	1	1	0	0	0	1	0
1028_sub0	1	6	3	3	3	3	0	0
1028_sub1	0	1	0	1	0	0	0	1
1043_sub0	0	5	3	2	0	0	3	2
1043_sub1	0	1	0	1	0	0	0	1
1043_sub2	0	1	0	1	0	0	0	1
1043_sub3	0	1	1	0	0	0	1	0
1054_sub0	0	1	1	0	0	0	1	0
1054_sub1	1	7	3	4	3	4	0	0
1054_sub2	0	1	1	0	0	0	1	0
1063_sub0	0	4	3	1	0	0	3	1
1063_sub1	0	1	1	0	0	0	1	0
1063_sub2	0	1	0	1	0	0	0	1
1063_sub3	0	1	1	0	0	0	1	0
1115_sub0	0	2	1	1	0	0	1	1
1115_sub1	0	1	1	0	0	0	1	0
1115_sub2	0	1	0	1	0	0	0	1
1115_sub3	0	1	0	1	0	0	0	1
1115_sub4	0	1	0	1	0	0	0	1
1116_sub0	0	2	2	0	0	0	2	0
1116_sub1	0	1	1	0	0	0	1	0
1116_sub2	0	1	0	1	0	0	0	1
1116_sub3	0	1	0	1	0	0	0	1
1116_sub4	0	1	1	0	0	0	1	0
1168_sub0	0	1	0	1	0	0	0	1
1168_sub1	0	4	1	3	0	0	1	3
1168_sub2	0	1	0	1	0	0	0	1
1201_sub0	0	4	1	3	0	0	1	3
1201_sub1	0	1	1	0	0	0	1	0
1201_sub2	0	1	0	1	0	0	0	1
1208_sub0	0	5	3	2	0	0	3	2
1208_sub1	0	1	1	0	0	0	1	0
1208_sub2	0	1	0	1	0	0	0	1
1223_sub0	0	1	1	0	0	0	1	0
1223_sub1	0	1	1	0	0	0	1	0
1223_sub2	0	3	1	2	0	0	1	2
1223_sub3	0	1	1	0	0	0	1	0
1240_sub0	0	5	4	1	0	0	4	1
1240_sub1	0	1	0	1	0	0	0	1
1264_sub0	1	6	2	4	2	4	0	0
1264_sub1	0	1	1	0	0	0	1	0
1264_sub2	0	1	0	1	0	0	0	1
1296_sub0	1	7	3	4	3	4	0	0
1308_sub0	1	6	3	3	3	3	0	0
1308_sub1	0	1	1	0	0	0	1	0
1308_sub2	0	1	0	1	0	0	0	1
1308_sub3	0	1	0	1	0	0	0	1
1322_sub0	0	4	2	2	0	0	2	2
1322_sub1	0	1	1	0	0	0	1	0
1322_sub2	0	1	0	1	0	0	0	1
1332_sub0	0	4	1	3	0	0	1	3
1332_sub1	0	1	1	0	0	0	1	0
1332_sub2	0	1	1	0	0	0	1	0
1397_sub0	0	5	2	3	0	0	2	3
1397_sub1	0	1	1	0	0	0	1	0
1397_sub2	0	1	1	0	0	0	1	0
1434_sub0	0	1	0	1	0	0	0	1
1434_sub1	0	5	3	2	0	0	3	2
145_sub0	0	1	0	1	0	0	0	1
145_sub1	0	4	2	2	0	0	2	2
145_sub2	0	1	0	1	0	0	0	1
1482_sub0	1	8	5	3	5	3	0	0
1543_sub0	0	1	0	1	0	0	0	1
1543_sub1	1	6	2	4	2	4	0	0
1543_sub2	0	1	0	1	0	0	0	1
1612_sub0	0	4	4	0	0	0	4	0
1612_sub1	0	1	1	0	0	0	1	0
1612_sub2	0	1	0	1	0	0	0	1
17_sub0	0	1	1	0	0	0	1	0
17_sub1	0	1	0	1	0	0	0	1
17_sub2	0	5	3	2	0	0	3	2
17_sub3	0	1	1	0	0	0	1	0
1704_sub0	0	5	1	4	0	0	1	4
1704_sub1	0	1	0	1	0	0	0	1
172_sub0	0	4	3	1	0	0	3	1
172_sub1	0	1	0	1	0	0	0	1
172_sub2	0	1	0	1	0	0	0	1
1721_sub0	0	5	3	2	0	0	3	2
1721_sub1	0	1	0	1	0	0	0	1
