format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6909	0	0	393	6516	367	767	0	5382	False
%	lpa5104	100	0	0	5	94	5	11	0	77	False
