sample	target	n_cluster	task_index
barcode71	lpa5104	0	5
barcode67	lpa5104	1	6
barcode69	lpa5104	1	7
barcode68	lpa5104	2	8
barcode65	lpa5104	2	9
barcode66	lpa5104	3	10
barcode70	lpa5104	3	11
