sample	target	n_cluster	task_index
barcode67	lpa5104	67	19
barcode71	lpa5104	83	20
barcode72	lpa5104	18	21
barcode69	lpa5104	17	22
barcode68	lpa5104	96	23
barcode65	lpa5104	74	24
barcode66	lpa5104	111	25
barcode70	lpa5104	89	26
