sample	target	n_cluster	task_index
barcode69	lpa5104	180	48
barcode68	lpa5104	686	49
barcode66	lpa5104	498	50
barcode70	lpa5104	509	51
barcode67	lpa5104	658	52
barcode65	lpa5104	638	53
barcode71	lpa5104	644	54
barcode72	lpa5104	373	55
