task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
28	a2/02a6a9	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SUMMARY_CLUSTER_STATS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:06.634	2025-09-02 11:12:08.649	2.1s	1.4s	37.6 MB	112 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/a2/02a6a9ab15dc57c78b824c8d736301	0.1%	283.5%	1.2 GB
29	7f/045e5f	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER_STATS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:06.635	2025-09-02 11:12:08.718	2.1s	1.5s	24.4 MB	172 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/7f/045e5f41d388085a580224e07ed39a	0.1%	214.2%	1.2 GB
30	c3/2c88d5	UMI_PIPELINE:UMI_POLISHING:GLUE_CLUSTERS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:06.834	2025-09-02 11:12:11.803	5s	2.6s	0	335 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/c3/2c88d5178d358264ced4d47a652d8e	0.0%	104.1%	5.2 MB
33	9b/e99901	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.105	2025-09-02 11:12:17.194	5.2s	4.1s	0	10.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9b/e99901e902930a5a79a2df52edc060	0.1%	105.4%	885.2 MB
35	f2/9e9126	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.003	2025-09-02 11:12:17.395	5.4s	4.4s	44 KB	11.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f2/9e9126b73feed7aa9403136e2499b0	0.1%	106.0%	857.3 MB
31	9a/325452	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.105	2025-09-02 11:12:17.829	5.8s	4.3s	0	11.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9a/325452c178097f3ab39f3183795c2a	0.1%	105.8%	857.3 MB
37	31/6839dc	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.004	2025-09-02 11:12:18.263	6.3s	4.5s	0	11.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/31/6839dcc66ea7ef18072c13c2e57ec8	0.1%	105.9%	857.3 MB
36	f9/227197	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.106	2025-09-02 11:12:18.376	6.4s	4.2s	0	11.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f9/22719750f463c22551d067640df4cc	0.1%	106.0%	114.5 MB
34	4a/5dbf43	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.107	2025-09-02 11:12:18.482	6.5s	4.3s	4 KB	11.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/4a/5dbf437523d7a475e14db042498ebd	0.1%	106.0%	114.5 MB
39	f0/8978d6	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.104	2025-09-02 11:12:18.563	6.6s	4.5s	0	12.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f0/8978d68a2302c2b859b77aee41db75	0.1%	106.2%	857.3 MB
41	2b/76f6f3	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.109	2025-09-02 11:12:18.693	6.6s	4.5s	0	11.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/2b/76f6f33e50c64a84d65921953fb3a8	0.1%	106.3%	857.3 MB
32	96/06382a	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.107	2025-09-02 11:12:18.766	6.7s	4.5s	0	11.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/96/06382a643dcb736f28a957e164b4fa	0.1%	105.6%	857.3 MB
40	bc/4782b4	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.106	2025-09-02 11:12:18.858	6.8s	4.7s	0	12.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/bc/4782b440ddc236187b66d22545fc33	0.1%	106.2%	857.3 MB
38	90/4b7e2a	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:12.108	2025-09-02 11:12:18.974	6.9s	4.6s	0	12 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/90/4b7e2aaaae044f0d439a9638326b11	0.1%	106.1%	857.3 MB
43	08/de4f7a	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:17.496	2025-09-02 11:12:22.404	5s	2.7s	460 KB	24.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/08/de4f7a2f9d62c8507a7a722457cbd3	0.1%	99.3%	966.8 MB
50	45/b47ea7	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:18.858	2025-09-02 11:12:23.094	4.3s	2.7s	0	24.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/45/b47ea73139b8939a573c7f5b202584	0.1%	99.7%	966.8 MB
42	69/4e9a74	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:17.294	2025-09-02 11:12:23.419	6.2s	2.5s	0	22.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/69/4e9a741df1c015c28adf016eef5746	0.1%	98.9%	966.8 MB
48	62/3a569d	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:18.663	2025-09-02 11:12:23.548	5s	2.8s	0	25.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/62/3a569d484942dfeea9cf8395179176	0.1%	100.2%	966.9 MB
45	d8/c7e989	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:18.364	2025-09-02 11:12:23.697	5.4s	2.6s	4 KB	24.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d8/c7e9890cc24eb18b0f2763ea8d2c02	0.1%	100.0%	966.8 MB
46	35/d4c6a7	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:18.476	2025-09-02 11:12:23.817	5.4s	2.6s	0	23.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/35/d4c6a75d164843f137b78413aad086	0.1%	98.9%	966.9 MB
47	56/3a7c0d	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:18.564	2025-09-02 11:12:23.906	5.4s	2.6s	4 KB	23.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/56/3a7c0d8de2688db4329e03574e1a3e	0.1%	98.9%	966.9 MB
49	1e/4751b8	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:18.767	2025-09-02 11:12:24.001	5.3s	2.7s	0	24.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/1e/4751b86745dd36a2ed0ccb6cfd7ffd	0.1%	99.9%	966.9 MB
52	8e/de7a04	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:19.074	2025-09-02 11:12:24.181	5.2s	2.7s	0	25 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/8e/de7a04aa59bcfdf8633ce7b6fe1f70	0.1%	99.9%	966.8 MB
44	79/4091c4	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:17.929	2025-09-02 11:12:24.218	6.4s	2.6s	4 KB	24 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/79/4091c4aeddf08997714ad4db109321	0.1%	99.7%	966.8 MB
51	cb/51bc9f	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:18.959	2025-09-02 11:12:24.335	5.5s	2.8s	0	25.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/cb/51bc9fd8f1c4534baa78cdfaf6dc1c	0.1%	100.1%	966.8 MB
56	e3/55bece	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:23.648	2025-09-02 11:12:51.755	28.2s	26.5s	61.9 MB	29.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/e3/55bece539b852bfdf440dc85b7bdaa	1.0%	116.6%	13.2 GB
55	67/c96b62	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:23.519	2025-09-02 11:12:51.852	28.4s	25.9s	14.2 MB	26.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/67/c96b625dbc02cbc3e57b6aaf3b6919	1.0%	108.4%	13.2 GB
59	eb/bb9bb3	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:24.002	2025-09-02 11:12:51.948	28s	26.5s	0	29.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/eb/bb9bb366c9c746af454605d8717032	1.0%	117.0%	13.3 GB
53	57/525c10	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:22.504	2025-09-02 11:12:52.046	29.6s	27.9s	263.4 MB	29.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/57/525c10aa435197d6a567655a79c171	1.0%	113.1%	13.2 GB
63	82/855e9f	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:24.435	2025-09-02 11:12:52.751	28.4s	26.9s	0	29.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/82/855e9f36122b59ecf4d1ca05912cab	1.0%	108.9%	13.1 GB
54	13/99b490	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:23.194	2025-09-02 11:12:53.342	30.2s	27.3s	0	29.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/13/99b490efcbff80b7387d31ceaef46e	1.0%	109.1%	13.2 GB
60	e7/3363e2	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:24.102	2025-09-02 11:12:53.702	29.7s	27.5s	0	29.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/e7/3363e2beb9fb72c616ae76eda30fe6	1.0%	108.7%	13.1 GB
61	ae/d98eaf	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:24.219	2025-09-02 11:12:53.802	29.6s	27.4s	0	29.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ae/d98eaf0579a3b7a6431e7f0b874f48	1.0%	108.7%	13.2 GB
58	f7/a31bab	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:23.907	2025-09-02 11:12:53.877	30s	27.6s	0	29.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f7/a31bab20916086d9098abb5b80b2d4	1.0%	109.3%	13.2 GB
62	e3/a260f0	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:24.318	2025-09-02 11:12:54.001	29.8s	27.6s	0	29.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/e3/a260f022414ef14a928cb4690b1749	1.0%	107.7%	13.2 GB
