sample	target	n_cluster	task_index
barcode68	lpa5104	2113	163
barcode71	lpa5104	1581	164
barcode66	lpa5104	1697	165
barcode72	lpa5104	2034	166
barcode70	lpa5104	2010	167
barcode69	lpa5104	1790	168
barcode65	lpa5104	2242	169
barcode67	lpa5104	1703	170
