format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6930	0	0	471	6459	460	617	3	5379	False
%	lpa5104	100	0	0	6	93	7	9	0	77	False
