format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6263	0	0	432	5831	399	623	1	4808	False
%	lpa5104	100	0	0	6	93	6	10	0	76	False
