cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
100_sub0	0	1	0	1	0	0	0	1
100_sub1	0	4	2	2	0	0	2	2
100_sub2	0	1	0	1	0	0	0	1
1008_sub0	0	3	1	2	0	0	1	2
1008_sub1	0	1	1	0	0	0	1	0
1008_sub2	0	1	1	0	0	0	1	0
1008_sub3	0	1	1	0	0	0	1	0
1014_sub0	0	4	2	2	0	0	2	2
1014_sub1	0	1	1	0	0	0	1	0
1014_sub2	0	1	1	0	0	0	1	0
105_sub0	0	1	0	1	0	0	0	1
105_sub1	1	6	3	3	3	3	0	0
105_sub2	0	1	1	0	0	0	1	0
105_sub3	0	1	0	1	0	0	0	1
1054_sub0	0	1	0	1	0	0	0	1
1054_sub1	0	1	1	0	0	0	1	0
1054_sub2	0	1	1	0	0	0	1	0
1054_sub3	0	1	1	0	0	0	1	0
1054_sub4	0	1	1	0	0	0	1	0
1054_sub5	0	1	0	1	0	0	0	1
1055_sub0	0	1	1	0	0	0	1	0
1055_sub1	0	4	2	2	0	0	2	2
1055_sub2	0	1	1	0	0	0	1	0
1057_sub0	0	1	0	1	0	0	0	1
1057_sub1	1	6	1	5	1	5	0	0
106_sub0	0	1	0	1	0	0	0	1
106_sub1	0	4	0	4	0	0	0	4
106_sub2	0	1	0	1	0	0	0	1
107_sub0	0	1	0	1	0	0	0	1
107_sub1	0	1	0	1	0	0	0	1
107_sub2	0	5	2	3	0	0	2	3
1071_sub0	0	1	1	0	0	0	1	0
1071_sub1	0	4	2	2	0	0	2	2
1071_sub2	0	1	0	1	0	0	0	1
108_sub0	0	1	0	1	0	0	0	1
108_sub1	0	1	0	1	0	0	0	1
108_sub2	0	5	1	4	0	0	1	4
1085_sub0	0	5	3	2	0	0	3	2
1085_sub1	0	1	0	1	0	0	0	1
1085_sub2	0	1	0	1	0	0	0	1
1086_sub0	1	6	1	5	1	5	0	0
1089_sub0	1	6	0	6	0	6	0	0
1089_sub1	0	1	0	1	0	0	0	1
1090_sub0	0	5	3	2	0	0	3	2
1090_sub1	0	1	0	1	0	0	0	1
1101_sub0	0	1	0	1	0	0	0	1
1101_sub1	0	4	1	3	0	0	1	3
1101_sub2	0	1	0	1	0	0	0	1
112_sub0	0	1	1	0	0	0	1	0
112_sub1	0	1	0	1	0	0	0	1
112_sub2	0	2	1	1	0	0	1	1
112_sub3	0	1	1	0	0	0	1	0
112_sub4	0	1	0	1	0	0	0	1
112_sub5	0	1	0	1	0	0	0	1
1137_sub0	0	5	1	4	0	0	1	4
1137_sub1	0	1	0	1	0	0	0	1
1137_sub2	0	1	1	0	0	0	1	0
1152_sub0	0	4	3	1	0	0	3	1
1152_sub1	0	1	0	1	0	0	0	1
1152_sub2	0	1	1	0	0	0	1	0
1152_sub3	0	1	1	0	0	0	1	0
1152_sub4	0	1	1	0	0	0	1	0
