task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
737	61/1f75bd	2247146	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:00.210	6.1s	3.3s	148.3%	611.9 MB	13.2 GB	25.9 MB	3 MB
738	d2/c28d0a	2248494	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:01.456	4.9s	2.8s	167.3%	606.9 MB	13.1 GB	25.9 MB	3 MB
742	c7/f9d33b	2249370	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:02.251	5.1s	3.3s	126.3%	629 MB	13.1 GB	25.9 MB	3 MB
741	18/d106a0	2249220	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:02.063	5.4s	3.3s	149.8%	612.2 MB	13.1 GB	25.9 MB	3 MB
740	3a/95e725	2249072	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:01.964	5.6s	3.2s	146.3%	496.3 MB	11.9 GB	26 MB	3 MB
739	96/d6d9dc	2248828	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:01.727	6.4s	3.7s	138.6%	607.9 MB	13.1 GB	25.9 MB	3 MB
743	16/3e2ff2	2250033	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:02.760	5.6s	3.2s	154.8%	601.5 MB	12.9 GB	25.9 MB	3 MB
744	33/ef1538	2250807	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:03.340	5.1s	3.1s	155.0%	520.9 MB	12.8 GB	25.8 MB	3 MB
746	3e/9701a1	2251525	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:04.062	4.8s	2.9s	158.5%	603.9 MB	12.9 GB	25.9 MB	3 MB
745	46/0e68b9	2251334	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:03.930	5.1s	2.9s	165.7%	601.8 MB	12.9 GB	25.9 MB	3 MB
748	09/e7cca7	2251814	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:04.318	5.3s	2.9s	159.3%	530.9 MB	12.8 GB	25.8 MB	3 MB
747	b6/ca23df	2251628	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:04.234	6s	3s	150.1%	601.9 MB	12.9 GB	26 MB	3 MB
750	b1/9cfb8c	2253509	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:05.658	5.2s	3s	128.3%	513.9 MB	12.7 GB	25.3 MB	1.7 MB
749	e4/27bb84	2253271	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:05.421	5.8s	3.3s	141.1%	611.3 MB	13.2 GB	25.9 MB	3 MB
752	e4/6d1f2a	2254134	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:06.252	5.5s	3s	162.7%	584.4 MB	12.9 GB	25.9 MB	3 MB
753	eb/f9ca06	2254183	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:06.311	5.6s	2.9s	159.1%	604.6 MB	12.9 GB	25.8 MB	3 MB
751	69/78fbbf	2253977	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:06.078	5.8s	3s	154.2%	526.7 MB	12.8 GB	25.8 MB	3 MB
754	0a/27c1ba	2254304	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:06.364	5.7s	2.8s	161.8%	604.1 MB	12.9 GB	25.9 MB	3 MB
755	90/eed9eb	2255440	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:07.375	6.2s	3.3s	134.3%	609.8 MB	13.2 GB	25.8 MB	3 MB
758	c1/2e6f0d	2256393	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:08.093	5.9s	3.3s	153.9%	601.4 MB	12.9 GB	25.9 MB	3 MB
756	7a/b32e24	2255556	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:07.481	6.7s	3.6s	127.4%	609 MB	13.1 GB	25.9 MB	3 MB
757	14/702b49	2255651	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:07.530	6.8s	3.6s	135.2%	607.8 MB	13.1 GB	25.8 MB	2.9 MB
760	72/64d940	2256802	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:08.474	5.9s	3.5s	140.6%	609.4 MB	13.3 GB	25.8 MB	3 MB
759	65/a61653	2256739	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:08.376	6.1s	3.8s	121.3%	610.3 MB	12.9 GB	25.7 MB	3 MB
761	2c/2cc8c3	2257199	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:08.904	5.7s	3.4s	136.6%	610.2 MB	13.2 GB	25.9 MB	3 MB
762	33/b10bfd	2257413	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:09.066	5.8s	3.1s	159.1%	518.2 MB	12.8 GB	25.8 MB	3 MB
763	d6/e4afa7	2257875	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:09.669	5.2s	3.2s	163.3%	526.5 MB	12.8 GB	25.9 MB	3 MB
764	62/65ba8e	2258787	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:10.196	5.5s	3.6s	150.8%	608.4 MB	13.1 GB	26 MB	3 MB
765	74/a095f3	2259593	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:10.888	5.6s	3.1s	151.7%	581.7 MB	12.8 GB	25.8 MB	3 MB
767	c8/9c03e7	2260270	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:11.711	4.9s	3.3s	142.8%	517.1 MB	12.8 GB	25.8 MB	3 MB
770	a4/1ec009	2260673	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:12.035	5.3s	3.5s	144.6%	608.9 MB	13.2 GB	25.9 MB	3 MB
768	d1/c1e939	2260526	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:11.913	5.5s	3.4s	127.8%	610.5 MB	13 GB	25.8 MB	3 MB
769	ec/2d8bc3	2260549	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:11.931	5.6s	3.4s	137.4%	611.3 MB	13.1 GB	25.9 MB	3 MB
766	7c/4c4056	2259950	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:11.259	6.4s	3.7s	136.6%	607.9 MB	13.2 GB	26 MB	3 MB
772	2e/553b48	2263264	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:13.999	5.2s	2.9s	142.8%	605.2 MB	12.9 GB	25.8 MB	3 MB
771	cf/d02019	2262823	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:13.557	5.8s	3.2s	144.7%	596.3 MB	12.9 GB	25.9 MB	2.9 MB
773	98/2ac793	2263326	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:14.174	5.2s	3s	164.5%	515.7 MB	12.8 GB	25.9 MB	3 MB
775	8c/052607	2263560	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:14.375	5.5s	3.2s	158.3%	518.9 MB	12.8 GB	26 MB	3 MB
776	96/65ff68	2263670	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:14.527	5.6s	3.4s	153.8%	609.7 MB	13.1 GB	25.8 MB	2.9 MB
774	de/9f9ccc	2263420	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:14.284	6.4s	3.2s	157.1%	592.3 MB	12.9 GB	25.8 MB	2.9 MB
777	74/cb7ce5	2263735	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:14.621	6.1s	3.1s	167.2%	520.4 MB	12.8 GB	25.9 MB	3 MB
779	82/103004	2263941	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:14.909	5.9s	3.1s	141.8%	520.2 MB	12.8 GB	25.8 MB	3 MB
778	2b/d69389	2263840	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:14.826	6.1s	2.9s	156.6%	583.8 MB	12.8 GB	25.8 MB	3 MB
781	c1/ee5330	2265960	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:16.530	5.3s	3.3s	123.6%	610.5 MB	13 GB	25.9 MB	3 MB
780	5c/254e00	2264871	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:15.656	6.4s	3.5s	125.8%	609.7 MB	13.1 GB	25.9 MB	3 MB
782	4f/0a3f4d	2266125	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:16.610	5.8s	3.4s	120.7%	608 MB	13 GB	25.9 MB	3 MB
783	69/5ee7f3	2266948	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:17.348	5.6s	2.9s	157.2%	604.7 MB	12.9 GB	25.9 MB	3 MB
786	28/145ce0	2267272	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:17.654	5.5s	3.4s	131.3%	610 MB	13.1 GB	25.9 MB	3 MB
784	9d/d46870	2267049	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:17.425	6s	3.3s	127.3%	611.8 MB	13.1 GB	25.8 MB	2.9 MB
785	18/302b5b	2267169	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:17.562	5.8s	3.4s	128.9%	609.4 MB	13.2 GB	25.9 MB	3 MB
789	93/f9580a	2269577	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:19.424	4.1s	2.8s	171.6%	601.6 MB	12.9 GB	26 MB	3 MB
787	66/2c6e63	2269265	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:19.161	5.4s	3.3s	139.2%	613 MB	13.1 GB	25.9 MB	3 MB
788	cb/ecc908	2269479	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:19.365	5.3s	3.3s	138.8%	608.9 MB	12.9 GB	25.9 MB	2.9 MB
790	ae/d0985a	2270031	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:19.889	5.4s	3.1s	155.2%	601.3 MB	12.9 GB	25.9 MB	3 MB
791	f0/c2e5cb	2270396	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:20.159	5.3s	3s	160.8%	602.8 MB	12.9 GB	26 MB	3 MB
792	f5/ace552	2270908	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:20.670	5.4s	3s	164.2%	592.3 MB	13 GB	25.9 MB	3 MB
793	18/ff78ee	2270983	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:20.701	5.6s	3s	166.7%	602.8 MB	12.9 GB	25.8 MB	3 MB
794	b4/0ea766	2271060	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:20.841	5.8s	3s	156.8%	516.3 MB	12.8 GB	25.8 MB	2.9 MB
795	2b/f89658	2271103	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:20.919	5.9s	3s	163.3%	602.9 MB	12.9 GB	25.9 MB	2.9 MB
796	c6/12a662	2272335	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:21.879	6.3s	3.2s	147.5%	517.6 MB	12.8 GB	25.9 MB	3 MB
797	d7/eeb347	2272488	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:22.099	6.4s	3.2s	144.7%	610.4 MB	13.2 GB	25.9 MB	3 MB
798	14/b515dc	2273008	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:22.427	6.1s	3.1s	161.9%	517.9 MB	12.8 GB	26 MB	3 MB
