sample	target	metric	count	percent
barcode01	lpa5104	reads_found	13	100.00
barcode01	lpa5104	reads_unmapped	0	0.00
barcode01	lpa5104	reads_secondary	0	0.00
barcode01	lpa5104	reads_supplementary	1	7.69
barcode01	lpa5104	reads_on_target	12	92.31
barcode01	lpa5104	reads_concatamer	0	0.00
barcode01	lpa5104	reads_short	4	30.77
barcode01	lpa5104	reads_long	0	0.00
barcode01	lpa5104	reads_filtered	8	61.54
