format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	7197	0	0	435	6762	412	741	1	5608	False
%	lpa5104	100	0	0	6	93	6	10	0	77	False
