format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	7001	0	0	384	6617	359	757	1	5500	False
%	lpa5104	100	0	0	5	94	5	11	0	78	False
