task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
203	8e/cbf0c1	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:53:53.197	2025-09-03 04:54:03.020	9.9s	7.5s	100 KB	9.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/8e/cbf0c15f47ea0bec5cb476b360dfea	0.0%	68.9%	877.2 MB
218	db/2e8746	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:53:59.267	2025-09-03 04:54:05.152	6s	4.1s	3.9 MB	24.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/db/2e8746ae2addd80eb6c78d7520b6cd	0.1%	78.7%	966.8 MB
172	be/027dd8	UMI_PIPELINE:UMI_POLISHING:GLUE_CLUSTERS	barcode04	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:53:32.365	2025-09-03 04:54:05.689	33.3s	14.5s	11.7 MB	339.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/be/027dd83ad4f25ad5c16b44942cd126	0.0%	19.9%	5.3 MB
220	5e/85b6e0	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:53:59.740	2025-09-03 04:54:06.780	7.1s	3.9s	3.6 MB	22.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/5e/85b6e0b49dac793c2b938954c7892d	0.1%	77.7%	966.8 MB
219	9d/f66a5b	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:53:59.605	2025-09-03 04:54:06.841	7.3s	4.1s	64 KB	24.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9d/f66a5b12521fc966dc4ba738235d0d	0.1%	79.5%	966.8 MB
221	88/9f3e48	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:00.756	2025-09-03 04:54:08.116	7.5s	4.1s	0	24 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/88/9f3e485cb82b13d01d1a0e895c9dae	0.1%	76.6%	966.8 MB
222	2e/d4418c	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:00.933	2025-09-03 04:54:08.189	7.4s	4.3s	3.6 MB	24.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/2e/d4418c0ae53b7d82a40261fa1294a6	0.1%	77.5%	966.9 MB
235	7d/255b80	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:02.374	2025-09-03 04:54:09.034	6.7s	3.9s	364 KB	23.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/7d/255b80ae971784b751927862f5838b	0.1%	80.5%	966.8 MB
224	79/da323e	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:01.522	2025-09-03 04:54:09.117	7.7s	4.6s	3.6 MB	25 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/79/da323ecab118329aa3394eab2846c2	0.1%	74.5%	966.8 MB
234	b0/d65ffc	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:02.275	2025-09-03 04:54:09.298	7.1s	4.2s	624 KB	23.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/b0/d65ffc077317ad1b21fcf6b80afd5a	0.1%	74.5%	966.8 MB
237	c9/b9b45d	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:02.493	2025-09-03 04:54:09.760	7.4s	4.7s	8 KB	25.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/c9/b9b45dc671f8c536c57b83298f217f	0.1%	73.2%	966.9 MB
240	09/e4d9bb	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:02.900	2025-09-03 04:54:10.302	7.5s	4.3s	8 KB	25.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/09/e4d9bb1c7f12121a9323277bcc08f6	0.1%	78.4%	966.8 MB
239	2a/8977e3	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:02.737	2025-09-03 04:54:10.406	7.7s	4s	52 KB	24 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/2a/8977e3bd7466c0c450c3d7dda4886a	0.1%	81.2%	966.9 MB
225	af/6b90af	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:02.069	2025-09-03 04:54:10.609	8.6s	4.8s	3.7 MB	25.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/af/6b90afbae083edecb29470523847e8	0.1%	71.2%	966.9 MB
238	92/27b8e4	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:02.613	2025-09-03 04:54:10.649	8.1s	4.2s	0	23.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/92/27b8e485f028b73e3c3c35e430d8a1	0.1%	76.8%	966.9 MB
244	69/9496e1	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:03.121	2025-09-03 04:54:10.702	7.7s	4.3s	0	24 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/69/9496e1d1fb1ec6c8c6603bbf28dab0	0.1%	76.0%	966.8 MB
242	9c/c01fa1	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:03.004	2025-09-03 04:54:10.746	7.8s	4.7s	0	26 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9c/c01fa1627caffa89f3f128431d1ad6	0.1%	74.2%	966.8 MB
247	d2/074d15	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:05.792	2025-09-03 04:54:11.905	6.2s	4s	1.2 MB	24.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d2/074d1554613154143b0fe1665b9dd5	0.1%	81.9%	966.9 MB
245	7b/c4abaa	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:05.253	2025-09-03 04:54:12.554	7.4s	4.6s	1.3 MB	25.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/7b/c4abaa8d49028b05c7af2abdfb0b84	0.1%	72.9%	966.9 MB
248	13/911164	UMI_PIPELINE:UMI_POLISHING:PARSE_BAM	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:06.841	2025-09-03 04:54:12.928	6.1s	3.5s	1.3 MB	19 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/13/911164998977bce43a45f9d072ddf7	0.1%	73.2%	966.8 MB
258	86/36b95a	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-03 04:54:06.944	2025-09-03 04:54:17.633	10.8s	8.7s	308 KB	10.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/86/36b95a0048ccc4bd3ab5b9e77fde75	0.1%	70.0%	877.2 MB
