task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
60	75/c7ada9	3025552	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:36:15.144	1h 11m 28s	1h 11m 27s	195.9%	2.6 GB	188.9 GB	59.4 MB	28.2 MB
61	aa/4b916d	3033400	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:36:30.482	1h 13m 21s	1h 13m 19s	194.6%	2.6 GB	188.8 GB	60.9 MB	28.9 MB
63	41/1b8b13	3048612	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:37:04.923	1h 13m 31s	1h 13m 30s	193.9%	3.9 GB	188.8 GB	60.7 MB	28.8 MB
66	bd/9a390b	3077752	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:37:58.396	1h 12m 54s	1h 12m 52s	196.6%	2.4 GB	188.9 GB	60.8 MB	28.9 MB
76	f3/ea7215	238222	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 06:37:45.122	13m 28s	13m 26s	183.9%	5.3 GB	188.8 GB	35.7 MB	10.8 MB
65	df/fbcf5f	3064140	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:37:32.877	1h 13m 50s	1h 13m 47s	196.5%	2.4 GB	188.9 GB	60.5 MB	28.7 MB
64	ad/82dc36	3064018	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:37:32.673	1h 13m 50s	1h 13m 48s	196.3%	2.5 GB	188.9 GB	60.5 MB	28.7 MB
71	f0/06ff52	3132365	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:40:07.033	1h 11m 19s	1h 11m 16s	195.5%	2.6 GB	188.9 GB	59.5 MB	28.1 MB
68	3b/b82426	3066765	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:37:38.198	1h 13m 48s	1h 13m 46s	195.0%	2.5 GB	188.8 GB	62.1 MB	29.6 MB
70	44/02fc41	3097996	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:38:42.551	1h 12m 49s	1h 12m 47s	196.8%	2.5 GB	188.9 GB	59.1 MB	28 MB
69	82/7193aa	3091601	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:38:27.296	1h 13m 8s	1h 13m 6s	194.8%	2.5 GB	188.9 GB	59.6 MB	28.3 MB
67	0c/070986	3066465	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:37:37.902	1h 14m 4s	1h 14m 2s	195.6%	2.5 GB	188.9 GB	60.7 MB	28.8 MB
73	d2/a5a4cb	3101828	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:38:49.586	1h 13m 14s	1h 13m 12s	196.1%	2.5 GB	188.9 GB	59.1 MB	28 MB
72	34/bd2c16	3121077	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-14 05:39:36.754	1h 12m 29s	1h 12m 26s	196.2%	2.5 GB	188.8 GB	58.5 MB	27.7 MB
