format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6496	0	0	368	6128	343	737	2	5046	False
%	lpa5104	100	0	0	5	94	5	12	0	77	False
