sample	target	n_cluster	task_index
barcode69	lpa5104	242	68
barcode70	lpa5104	528	70
barcode67	lpa5104	723	71
barcode71	lpa5104	717	72
barcode72	lpa5104	429	73
barcode65	lpa5104	751	74
barcode68	lpa5104	979	75
barcode66	lpa5104	649	76
