format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6909	0	0	377	6532	368	697	1	5466	False
%	lpa5104	100	0	0	5	94	5	10	0	79	False
