sample	target	n_cluster	task_index
barcode70	lpa5104	847	68
barcode67	lpa5104	951	69
barcode68	lpa5104	1135	70
barcode71	lpa5104	918	71
barcode72	lpa5104	688	72
barcode65	lpa5104	1168	73
barcode66	lpa5104	913	74
barcode69	lpa5104	550	75
