cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
1000_sub0	0	1	1	0	0	0	1	0
1000_sub1	1	6	2	4	2	4	0	0
1003_sub0	1	7	3	4	3	4	0	0
1003_sub1	0	1	0	1	0	0	0	1
1003_sub2	0	1	0	1	0	0	0	1
1003_sub3	0	1	1	0	0	0	1	0
1003_sub4	0	1	0	1	0	0	0	1
1004_sub0	0	1	0	1	0	0	0	1
1004_sub1	0	1	0	1	0	0	0	1
1004_sub2	0	1	1	0	0	0	1	0
1004_sub3	0	1	1	0	0	0	1	0
1004_sub4	0	1	0	1	0	0	0	1
1004_sub5	0	1	1	0	0	0	1	0
1004_sub6	0	1	1	0	0	0	1	0
1005_sub0	1	6	2	4	2	4	0	0
1005_sub1	0	1	1	0	0	0	1	0
1005_sub2	0	1	0	1	0	0	0	1
1005_sub3	0	1	0	1	0	0	0	1
1005_sub4	0	1	0	1	0	0	0	1
1006_sub0	1	6	3	3	3	3	0	0
10070_sub0	1	7	4	3	4	3	0	0
10070_sub1	0	1	1	0	0	0	1	0
1008_sub0	1	6	4	2	4	2	0	0
1008_sub1	0	1	1	0	0	0	1	0
1008_sub2	0	1	0	1	0	0	0	1
1010_sub0	0	4	2	2	0	0	2	2
1010_sub1	0	1	1	0	0	0	1	0
1010_sub2	0	1	0	1	0	0	0	1
1012_sub0	0	1	1	0	0	0	1	0
1012_sub1	0	4	3	1	0	0	3	1
1012_sub2	0	1	0	1	0	0	0	1
10141_sub0	0	1	1	0	0	0	1	0
10141_sub1	0	4	0	4	0	0	0	4
10141_sub2	0	1	1	0	0	0	1	0
10142_sub0	0	1	1	0	0	0	1	0
10142_sub1	0	5	4	1	0	0	4	1
10142_sub2	0	1	0	1	0	0	0	1
10142_sub3	0	1	0	1	0	0	0	1
10142_sub4	0	1	1	0	0	0	1	0
10142_sub5	0	1	0	1	0	0	0	1
1016_sub0	0	4	2	2	0	0	2	2
1016_sub1	0	2	0	2	0	0	0	2
10180_sub0	1	6	5	1	5	1	0	0
10180_sub1	0	1	1	0	0	0	1	0
1019_sub0	0	3	2	1	0	0	2	1
1019_sub1	0	1	0	1	0	0	0	1
1019_sub2	0	1	0	1	0	0	0	1
1019_sub3	0	1	1	0	0	0	1	0
1019_sub4	0	1	1	0	0	0	1	0
1019_sub5	0	1	1	0	0	0	1	0
1019_sub6	0	1	0	1	0	0	0	1
1019_sub7	0	1	1	0	0	0	1	0
1019_sub8	0	1	1	0	0	0	1	0
1019_sub9	0	1	1	0	0	0	1	0
