task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
7	6a/12cb55	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.889	2025-09-02 22:35:38.604	2m 56s	2m 53s	464.2 MB	391.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/6a/12cb5501bdbd817beef6c1e6762e91	0.0%	13.6%	125.9 MB
17	d2/136f51	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.796	2025-09-02 22:35:38.736	2m 56s	2m 52s	443.9 MB	396.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d2/136f51df5c66bc71a92a76cd8a06f8	0.0%	13.6%	125.9 MB
6	04/fe29b9	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.887	2025-09-02 22:35:40.769	2m 58s	2m 54s	465.1 MB	393.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/04/fe29b96a983e671a3be6eabbc35832	0.0%	13.7%	126 MB
9	d0/78172c	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.990	2025-09-02 22:35:41.037	2m 58s	2m 55s	464.7 MB	392.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d0/78172c4cfdf40ebe3f9bb1ab42233c	0.0%	13.4%	125.8 MB
44	d6/b77012	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:24.635	2025-09-02 22:35:42.167	17.6s	16.3s	0	395.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d6/b770124b6c8cee8e4b977006879258	0.0%	95.6%	124.8 MB
8	41/f1b708	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.688	2025-09-02 22:35:42.289	3m	2m 58s	463.3 MB	390 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/41/f1b708887fc27ed60e69fcfcb966eb	0.0%	13.3%	126 MB
25	6b/53f212	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.693	2025-09-02 22:35:42.465	3m	2m 57s	469.4 MB	399 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/6b/53f2123697b4a0a31df3d52183c32e	0.0%	13.8%	126 MB
27	b3/e0729e	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.591	2025-09-02 22:35:42.745	3m	2m 58s	469.9 MB	399.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/b3/e0729e7b292c48f0ca8d3900587c13	0.0%	13.6%	126 MB
28	df/1e65ef	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.689	2025-09-02 22:35:43.001	3m	2m 58s	469.8 MB	400.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/df/1e65ef0a1450a9ad6fe7c97d317e97	0.0%	13.5%	125.9 MB
24	fd/5cc82d	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.791	2025-09-02 22:35:43.078	3m	2m 57s	469 MB	399.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/fd/5cc82dde0fac8790cb635ee3315055	0.0%	13.8%	125.9 MB
