task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	78/590d02	3245678	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-13 18:31:01.155	1.2s	3ms	118.5%	0	0	57.6 KB	244 B
5	04/f4bc6f	3245638	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-13 18:31:01.143	17.1s	15.3s	98.9%	24.5 MB	126.6 MB	420.4 MB	353.7 MB
2	e1/707345	3245623	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-13 18:31:01.135	18s	17s	100.0%	24.7 MB	126.6 MB	469.9 MB	396.2 MB
4	a3/d8f1d9	3245702	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-13 18:31:01.160	18.3s	17s	100.0%	24.1 MB	126.6 MB	469.5 MB	395.7 MB
3	0a/ee432d	3245732	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-13 18:31:01.169	18.4s	17s	100.0%	24.4 MB	126.6 MB	470.3 MB	395.9 MB
6	de/fe5dcb	3245655	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-13 18:31:01.149	18.5s	17.2s	100.1%	24.5 MB	126.6 MB	470.4 MB	398.2 MB
7	53/4cfd0e	3249874	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-13 18:31:19.323	9.1s	7.7s	959.6%	911 MB	26.6 GB	867.9 MB	514.1 MB
8	4b/c8209a	3250143	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-13 18:31:20.318	12.2s	10.1s	821.6%	1 GB	26.8 GB	971.7 MB	575.4 MB
9	c0/200bac	3250444	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-13 18:31:21.922	11.8s	10s	840.2%	925.1 MB	26.8 GB	970.8 MB	575 MB
10	1e/85fd4c	3250838	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-13 18:31:23.553	11.5s	9.8s	857.3%	856.3 MB	26.7 GB	971.7 MB	575.7 MB
11	a9/edb488	3251456	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-13 18:31:25.329	10.2s	8.3s	1020.8%	878.7 MB	26.9 GB	976.6 MB	578.3 MB
12	97/582c33	3252493	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-13 18:31:28.538	13.3s	10.8s	98.9%	23.6 MB	126.1 MB	142.3 MB	354.4 MB
15	9d/3eebb4	3254863	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (4)	COMPLETED	0	2025-07-13 18:31:35.071	29.6s	10.6s	98.3%	23.8 MB	126.1 MB	160.2 MB	396.5 MB
13	32/e94fbe	3253607	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (2)	COMPLETED	0	2025-07-13 18:31:32.594	32.1s	10.7s	100.1%	23.9 MB	126.1 MB	159.4 MB	396.3 MB
14	8a/0f62d6	3254103	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (3)	COMPLETED	0	2025-07-13 18:31:33.759	30.9s	10.9s	98.1%	23.9 MB	126.1 MB	159.5 MB	396.2 MB
16	e4/f5b5e3	3255107	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (5)	COMPLETED	0	2025-07-13 18:31:35.525	29.2s	10.7s	97.6%	23.8 MB	126.1 MB	160 MB	398.8 MB
17	0d/8dafce	3256992	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (1)	COMPLETED	0	2025-07-13 18:31:42.433	35s	5.6s	90.4%	31.1 MB	133.1 MB	287 MB	247.1 MB
18	6f/8ca4b5	3258048	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (2)	COMPLETED	0	2025-07-13 18:32:05.300	19.9s	6s	100.0%	31.4 MB	133.4 MB	324.9 MB	278.1 MB
21	39/3ed01c	3258192	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (5)	COMPLETED	0	2025-07-13 18:32:06.825	18.3s	6.1s	100.0%	31.4 MB	133.4 MB	328.2 MB	280.7 MB
