sample	target	n_cluster	task_index
barcode69	lpa5104	1132	121
barcode71	lpa5104	1361	122
barcode72	lpa5104	1421	123
barcode65	lpa5104	1750	125
barcode66	lpa5104	1360	126
barcode70	lpa5104	1597	127
barcode67	lpa5104	1453	128
barcode68	lpa5104	1807	129
