sample	target	n_cluster	task_index
barcode72	lpa5104	139	38
barcode65	lpa5104	303	39
barcode69	lpa5104	108	40
barcode68	lpa5104	499	41
barcode66	lpa5104	354	42
barcode70	lpa5104	319	43
barcode67	lpa5104	488	44
barcode71	lpa5104	483	45
