format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6771	0	0	323	6448	298	699	2	5449	False
%	lpa5104	100	0	0	4	95	4	10	0	80	False
