format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6233	0	0	316	5917	292	686	2	4937	False
%	lpa5104	100	0	0	5	94	4	11	0	79	False
