sample	target	n_cluster	task_index
barcode69	lpa5104	498	86
barcode67	lpa5104	1013	87
barcode65	lpa5104	1094	88
barcode71	lpa5104	998	89
barcode72	lpa5104	742	90
barcode68	lpa5104	1222	91
barcode66	lpa5104	934	92
barcode70	lpa5104	1060	93
