format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6981	0	0	409	6572	386	699	0	5487	False
%	lpa5104	100	0	0	5	94	5	10	0	78	False
