task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	fb/6094d4	4127137	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-14 11:38:59.543	1.1s	4ms	82.1%	0	0	57.6 KB	243 B
5	67/c35a38	4127158	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-14 11:38:59.556	17.5s	15.4s	98.9%	24.5 MB	126.6 MB	420.4 MB	353.7 MB
2	0e/45269d	4127167	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-14 11:38:59.562	18s	17.1s	100.2%	24.4 MB	126.6 MB	469.9 MB	396.2 MB
4	39/42dffb	4127211	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-14 11:38:59.573	18.4s	17.1s	100.0%	24.2 MB	126.6 MB	469.5 MB	395.7 MB
3	e3/998025	4127187	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-14 11:38:59.567	18.6s	17.1s	100.1%	24.7 MB	126.6 MB	470.3 MB	395.9 MB
6	98/3d2dd0	4127238	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-14 11:38:59.582	18.6s	17.1s	100.1%	24.6 MB	126.6 MB	470.4 MB	398.2 MB
7	e4/61908b	4131381	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-14 11:39:18.151	8.1s	7.2s	1032.6%	883.2 MB	26.6 GB	867.9 MB	514.1 MB
8	91/e40e22	4131639	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-14 11:39:19.306	12s	9.8s	845.3%	960.4 MB	27 GB	971.7 MB	575.4 MB
9	25/d331fb	4131934	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-14 11:39:21.083	11.5s	10.3s	814.9%	908.4 MB	26.7 GB	970.8 MB	575 MB
10	1a/5635af	4132416	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-14 11:39:22.494	11.6s	9.7s	862.3%	1004.8 MB	27 GB	971.7 MB	575.7 MB
11	f9/35d2f2	4132973	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-14 11:39:24.229	10.3s	8.6s	971.7%	959.7 MB	26.7 GB	976.6 MB	578.3 MB
12	6f/110cdc	4133674	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-14 11:39:26.350	13.7s	11.3s	97.1%	23.7 MB	126.1 MB	142.3 MB	354.4 MB
