format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6454	0	0	374	6080	354	781	2	4943	False
%	lpa5104	100	0	0	5	94	5	12	0	76	False
