format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	7129	0	0	545	6584	507	643	0	5434	False
%	lpa5104	100	0	0	7	92	7	9	0	76	False
