sample	target	n_cluster	task_index
barcode66	lpa5104	206	33
barcode70	lpa5104	188	35
barcode67	lpa5104	316	36
barcode71	lpa5104	330	37
barcode72	lpa5104	139	38
barcode65	lpa5104	303	39
barcode69	lpa5104	108	40
barcode68	lpa5104	499	41
