format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	7006	0	0	491	6515	462	646	2	5405	False
%	lpa5104	100	0	0	7	92	7	9	0	77	False
