task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
183	94/f7541d	95848	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:03:09.180	1m 55s	1m 53s	221.9%	319 MB	6.5 GB	32.4 MB	12.9 MB
237	bc/88f481	136018	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:05:04.521	3.4s	2.2s	156.7%	184.1 MB	6 GB	29.6 MB	504.5 KB
184	22/eb5944	109660	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:04:26.928	1m 16s	1m 14s	428.3%	316.6 MB	6.5 GB	32.5 MB	12.9 MB
185	72/135a24	109885	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:04:27.802	1m 17s	1m 15s	436.6%	313.7 MB	6.5 GB	32.3 MB	12.9 MB
238	e4/29229c	138434	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:05:43.034	2.9s	1.8s	150.8%	224.2 MB	6 GB	29.4 MB	504.5 KB
239	11/bb2f64	138762	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:05:44.445	2.8s	1.9s	183.1%	190.8 MB	6 GB	29.4 MB	504.5 KB
187	a5/82445e	112095	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:04:36.086	1m 11s	1m 9s	511.7%	318.7 MB	6.6 GB	32.6 MB	12.9 MB
186	27/580be5	111928	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:04:35.499	1m 12s	1m 10s	484.2%	312.8 MB	6.5 GB	32.3 MB	12.9 MB
188	69/93df84	113245	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:04:38.254	1m 11s	1m 9s	511.7%	315.8 MB	6.6 GB	32.7 MB	13 MB
240	65/e3c2cf	139394	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:05:47.550	2.5s	1.5s	302.4%	228.9 MB	6 GB	29.5 MB	504.5 KB
241	e5/7a6834	139460	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:05:47.722	2.4s	1.5s	283.8%	224.1 MB	6 GB	29.4 MB	504.5 KB
242	13/e516a5	139949	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 14:05:48.888	1.9s	1.4s	364.5%	229.2 MB	6 GB	29.5 MB	504.5 KB
243	c1/bb415c	140486	UMI_PIPELINE:UMI_POLISHING:MERGE_CONSENSUS_FASTQ (1)	COMPLETED	0	2025-07-14 14:05:50.834	677ms	26ms	93.2%	4.6 MB	7.1 MB	26 MB	25.9 MB
244	65/1c66dd	140797	UMI_PIPELINE:UMI_POLISHING:FILTER_CONSENSUS_FASTQ (1)	COMPLETED	0	2025-07-14 14:05:51.531	738ms	197ms	1823.6%	14.8 MB	42.8 MB	26 MB	25.9 MB
245	02/a4cba5	141038	UMI_PIPELINE:UMI_POLISHING:MAP_CONSENSUS (1)	COMPLETED	0	2025-07-14 14:05:52.291	860ms	341ms	1642.0%	14.8 MB	1.3 GB	60.7 MB	34.7 MB
246	5a/520422	141465	UMI_PIPELINE:VARIANT_CALLING:MUTSERVE (1)	COMPLETED	0	2025-07-14 14:05:53.165	3.2s	2.7s	204.1%	949 MB	20.9 GB	19.1 MB	2.6 MB
