sample	target	n_cluster	task_index
barcode66	lpa5104	27	26
barcode68	lpa5104	75	27
barcode70	lpa5104	42	28
barcode67	lpa5104	72	29
barcode71	lpa5104	83	30
barcode72	lpa5104	11	31
barcode65	lpa5104	49	32
barcode69	lpa5104	18	33
