sample	target	n_cluster	task_index
barcode69	lpa5104	2354	1
barcode66	lpa5104	1943	2
barcode72	lpa5104	2606	3
barcode71	lpa5104	1754	4
barcode67	lpa5104	1861	5
barcode70	lpa5104	2362	6
barcode65	lpa5104	2607	7
barcode68	lpa5104	2378	8
