task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a3/d1b0d1	3314254	UMI_PIPELINE:PARSE_BED (1)	COMPLETED	0	2025-07-13 23:11:18.294	878ms	3ms	114.3%	0	0	57.6 KB	244 B
5	d3/887796	3314285	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (4)	COMPLETED	0	2025-07-13 23:11:18.309	17.2s	15.3s	98.9%	24.4 MB	126.6 MB	420.4 MB	353.7 MB
2	90/973d1d	3314309	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (1)	COMPLETED	0	2025-07-13 23:11:18.315	18.3s	16.9s	99.9%	24.5 MB	126.6 MB	469.9 MB	396.2 MB
6	21/57fe42	3314270	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (5)	COMPLETED	0	2025-07-13 23:11:18.304	27.5s	17s	99.9%	24.4 MB	126.6 MB	470.4 MB	398.2 MB
4	ae/26e346	3314381	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (3)	COMPLETED	0	2025-07-13 23:11:18.338	27.5s	17s	99.3%	24.4 MB	126.3 MB	469.5 MB	395.7 MB
3	f8/0c301e	3314332	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ (2)	COMPLETED	0	2025-07-13 23:11:18.321	27.6s	17s	99.5%	24.7 MB	126.3 MB	470.3 MB	395.9 MB
7	1a/16a2b8	3318465	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (1)	COMPLETED	0	2025-07-13 23:11:36.569	35.1s	25.2s	301.5%	785.9 MB	27.1 GB	867.9 MB	514.1 MB
8	11/6be7e0	3318521	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (2)	COMPLETED	0	2025-07-13 23:11:37.652	34.2s	25.2s	334.1%	956.2 MB	26.8 GB	971.7 MB	575.4 MB
13	d4/d3c919	3321053	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (2)	COMPLETED	0	2025-07-13 23:12:11.900	34.9s	14.8s	87.7%	23.7 MB	126.1 MB	159.4 MB	396.3 MB
12	a5/6d4521	3321002	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (1)	COMPLETED	0	2025-07-13 23:12:11.820	35s	13.3s	89.4%	23.9 MB	126.1 MB	142.3 MB	354.4 MB
11	d6/620849	3319572	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (5)	COMPLETED	0	2025-07-13 23:11:50.926	56.6s	28s	297.7%	897.7 MB	26.8 GB	971.7 MB	575.7 MB
9	c3/308be4	3319063	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (3)	COMPLETED	0	2025-07-13 23:11:47.006	1m	28.2s	297.9%	880.2 MB	26.8 GB	976.6 MB	578.3 MB
10	ad/2fb898	3319253	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS (4)	COMPLETED	0	2025-07-13 23:11:48.734	58.8s	27.9s	300.6%	920.2 MB	26.7 GB	970.8 MB	575 MB
14	d6/341b1f	3326087	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (1)	COMPLETED	0	2025-07-13 23:12:47.382	6.7s	5.3s	100.2%	31.4 MB	133.4 MB	287 MB	247.1 MB
18	52/4c3fcb	3326390	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (2)	COMPLETED	0	2025-07-13 23:12:47.947	7.1s	6s	100.2%	31.4 MB	133.3 MB	323.4 MB	276.5 MB
17	ed/3edbd4	3326186	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (5)	COMPLETED	0	2025-07-13 23:12:47.522	11.6s	10.3s	100.1%	23.8 MB	126.1 MB	159.5 MB	396.2 MB
16	61/ad0d44	3326175	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (4)	COMPLETED	0	2025-07-13 23:12:47.514	11.6s	10.4s	100.0%	23.6 MB	126.1 MB	160 MB	398.8 MB
15	1e/96f441	3326204	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS (3)	COMPLETED	0	2025-07-13 23:12:47.530	11.6s	10.2s	100.0%	23.5 MB	126.1 MB	160.2 MB	396.5 MB
19	e8/ec10dd	3329256	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (3)	COMPLETED	0	2025-07-13 23:12:59.733	7.8s	5.8s	100.1%	31.6 MB	133.7 MB	324.9 MB	278.1 MB
20	03/32f89d	3329285	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ (4)	COMPLETED	0	2025-07-13 23:13:00.270	7.3s	6s	100.1%	31.6 MB	133.6 MB	328.2 MB	280.7 MB
