task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
26	eb/099af3	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	4 GB	2025-09-06 19:03:23.720	2025-09-06 19:03:35.842	12.2s	11.6s	49.6 MB	2.6 GB	/media/qf0297/sequencing/umi-pipeline-nf/work/eb/099af31d659a7441376e42428f683c	2.3%	936.8%	3.7 GB
27	2c/f340d8	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:REFORMAT_FILTER_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:03:48.063	2025-09-06 19:04:11.576	23.5s	21.1s	16.9 MB	781.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/2c/f340d8e8dd25bb5b98bafde750188b	0.1%	99.3%	145.2 MB
29	b7/260916	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SUMMARY_CLUSTER_STATS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:04:11.877	2025-09-06 19:04:13.993	2.2s	1.3s	31.2 MB	112 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/b7/260916649dcdbd31a14bb466660182	0.1%	268.6%	1.5 GB
28	16/4aa60f	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:CLUSTER_STATS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:04:11.878	2025-09-06 19:04:14.083	2.2s	1.5s	33.1 MB	172 KB	/media/qf0297/sequencing/umi-pipeline-nf/work/16/4aa60f944a5313034910b5bd56b6c7	0.1%	249.3%	1.2 GB
30	ed/9a736b	UMI_PIPELINE:UMI_POLISHING:GLUE_CLUSTERS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 19:04:12.077	2025-09-06 19:04:17.319	5.3s	2.8s	0	335 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ed/9a736bc575e3ef5e29f8c391a5f06e	0.0%	104.5%	5.2 MB
33	49/4360bd	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.523	2025-09-06 22:19:06.842	3h 14m 49s	3h 14m 48s	322.1 MB	73.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/49/4360bd59b759667903bf81bbdcd13a	5.3%	272.0%	189.5 GB
34	eb/1faaa2	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.520	2025-09-06 22:35:01.539	3h 30m 44s	3h 30m 43s	287.3 MB	83.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/eb/1faaa2881e07878e18f5ddc21f9457	5.4%	269.6%	189.6 GB
36	f9/4f584e	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.623	2025-09-06 22:35:51.032	3h 31m 33s	3h 31m 32s	192.7 MB	82 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f9/4f584ed0a35309ba593e1ea98d472a	5.4%	269.4%	189.7 GB
37	90/b12b90	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.522	2025-09-06 22:36:20.654	3h 32m 3s	3h 32m 2s	292.5 MB	81.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/90/b12b90b7338be4ffaf93ff86a7bffe	5.3%	268.0%	189.6 GB
31	39/0e460a	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.624	2025-09-06 22:36:28.942	3h 32m 11s	3h 32m 10s	220.6 MB	81.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/39/0e460a09f87654a08bd374d944a08f	5.3%	267.8%	189.7 GB
39	96/fe95f6	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.523	2025-09-06 22:36:55.826	3h 32m 38s	3h 32m 36s	282.4 MB	82.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/96/fe95f652b24de26bcfb46e020db20d	5.4%	268.1%	189.7 GB
38	41/07d779	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.621	2025-09-06 22:37:09.814	3h 32m 52s	3h 32m 50s	205.6 MB	82.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/41/07d779bdbb7a0f73087230ccbec190	5.4%	267.0%	189.7 GB
41	c4/14eec0	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.622	2025-09-06 22:37:24.338	3h 33m 7s	3h 33m 5s	212.1 MB	82.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/c4/14eec097ba47cf4bc32c06f25354b2	5.3%	266.8%	189.7 GB
35	18/3023f1	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.620	2025-09-06 22:37:26.546	3h 33m 9s	3h 33m 7s	231.1 MB	82.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/18/3023f1dd211b56f362d7559c68d79c	5.5%	266.7%	189.8 GB
32	7b/6230dc	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.521	2025-09-06 22:37:33.936	3h 33m 16s	3h 33m 15s	215.2 MB	82.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/7b/6230dceb3c7eca66eb58caf1db96c9	5.3%	267.2%	189.7 GB
40	f0/e1f15b	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	2	-	-	2 GB	2025-09-06 19:04:17.622	2025-09-06 22:37:36.202	3h 33m 19s	3h 33m 17s	245.5 MB	82.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f0/e1f15b3335f5500bd238749ce8178b	5.4%	269.2%	189.7 GB
42	7c/b180f8	UMI_PIPELINE:UMI_POLISHING:MERGE_CONSENSUS_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:36.302	2025-09-06 22:37:36.846	618ms	23ms	36 KB	21.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/7c/b180f8c3906b46bb1d787157fbee0f	0.0%	106.7%	7.1 MB
43	a3/4470f9	UMI_PIPELINE:UMI_POLISHING:FILTER_CONSENSUS_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:36.946	2025-09-06 22:37:37.539	674ms	167ms	876 KB	21.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/a3/4470f9778ca7696d9ae4314870a47d	0.0%	1784.8%	42.8 MB
44	07/3d9bd1	UMI_PIPELINE:UMI_POLISHING:MAP_CONSENSUS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:37.640	2025-09-06 22:37:38.449	886ms	314ms	1.1 MB	6.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/07/3d9bd19200bb8b4e4b437dc9fbcb53	0.0%	1463.6%	1.6 GB
45	76/5012ee	UMI_PIPELINE:CONSENSUS_POLISHING:DETECT_UMI_CONSENSUS_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:37.641	2025-09-06 22:37:38.816	1.2s	478ms	4.8 MB	22.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/76/5012ee34b1731e3b9518db0e093fae	0.0%	92.9%	97.7 MB
47	1b/ae7f52	UMI_PIPELINE:CONSENSUS_POLISHING:CLUSTER_CONSENSUS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:38.916	2025-09-06 22:37:39.556	715ms	158ms	24 KB	47 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/1b/ae7f527fe6fb0699614eaeeaf6878e	0.0%	232.8%	42.9 MB
48	02/dc7bdf	UMI_PIPELINE:CONSENSUS_POLISHING:REFORMAT_CONSENSUS_CLUSTER	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:39.757	2025-09-06 22:37:40.326	630ms	130ms	0	21.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/02/dc7bdffde8af819b971b32a1bf19a0	0.0%	103.0%	14.7 MB
49	d1/5d5e62	UMI_PIPELINE:CONSENSUS_POLISHING:MAP_FINAL_CONSENSUS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:40.426	2025-09-06 22:37:41.208	860ms	317ms	0	6.4 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/d1/5d5e62b0373a177e1de7577d57b377	0.0%	1474.3%	1015.3 MB
46	9e/69da6c	UMI_PIPELINE:VARIANT_CALLING:MUTSERVE	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:38.549	2025-09-06 22:37:41.709	3.2s	2.4s	29.1 MB	1.9 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9e/69da6c6dab22fbededc187e8e3d2ac	1.3%	226.3%	20.9 GB
50	02/5f37cc	UMI_PIPELINE:CONSENSUS_VARIANT_CALLING:MUTSERVE	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-06 22:37:41.309	2025-09-06 22:37:44.055	2.8s	2.2s	0	1.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/02/5f37ccc1da5abc03cb7a7e65490c70	1.3%	228.3%	20.9 GB
