format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6566	0	0	332	6234	318	709	1	5206	False
%	lpa5104	100	0	0	5	94	5	11	0	79	False
