barcode	target	n_cluster	task_index	timestamp	sample	task_index_chtronological	runtime_hours	runtime_minutes
barcode66	lpa5104	3	10	2026-02-02T14:05:00Z	HG02657	11	0.6333333333333333	38
barcode70	lpa5104	3	11	2026-02-02T14:05:00Z	NA18868	10	0.6333333333333333	38
barcode71	lpa5104	3	12	2026-02-02T14:05:00Z	NA19098	9	0.6333333333333333	38
barcode67	lpa5104	2	13	2026-02-02T14:05:00Z	HG02778	9	0.6333333333333333	38
barcode72	lpa5104	1	14	2026-02-02T14:05:00Z	NA19190	1	0.6333333333333333	38
barcode68	lpa5104	2	8	2026-02-02T14:09:00Z	HG03234	14	0.7	42
barcode65	lpa5104	2	9	2026-02-02T14:09:00Z	HG01593	13	0.7	42
barcode66	lpa5104	3	10	2026-02-02T14:09:00Z	HG02657	12	0.7	42
barcode70	lpa5104	3	11	2026-02-02T14:09:00Z	NA18868	11	0.7	42
barcode71	lpa5104	3	12	2026-02-02T14:09:00Z	NA19098	10	0.7	42
barcode67	lpa5104	2	13	2026-02-02T14:09:00Z	HG02778	10	0.7	42
barcode72	lpa5104	1	14	2026-02-02T14:09:00Z	NA19190	2	0.7	42
barcode69	lpa5104	2	15	2026-02-02T14:09:00Z	HG03765	9	0.7	42
barcode65	lpa5104	2	9	2026-02-02T14:10:00Z	HG01593	14	0.7166666666666667	43
barcode66	lpa5104	3	10	2026-02-02T14:10:00Z	HG02657	13	0.7166666666666667	43
barcode70	lpa5104	3	11	2026-02-02T14:10:00Z	NA18868	12	0.7166666666666667	43
barcode71	lpa5104	3	12	2026-02-02T14:10:00Z	NA19098	11	0.7166666666666667	43
barcode67	lpa5104	2	13	2026-02-02T14:10:00Z	HG02778	11	0.7166666666666667	43
barcode72	lpa5104	1	14	2026-02-02T14:10:00Z	NA19190	3	0.7166666666666667	43
barcode69	lpa5104	2	15	2026-02-02T14:10:00Z	HG03765	10	0.7166666666666667	43
barcode68	lpa5104	9	16	2026-02-02T14:10:00Z	HG03234	15	0.7166666666666667	43
barcode66	lpa5104	3	10	2026-02-02T14:14:00Z	HG02657	14	0.7833333333333333	47
barcode70	lpa5104	3	11	2026-02-02T14:14:00Z	NA18868	13	0.7833333333333333	47
barcode71	lpa5104	3	12	2026-02-02T14:14:00Z	NA19098	12	0.7833333333333333	47
barcode67	lpa5104	2	13	2026-02-02T14:14:00Z	HG02778	12	0.7833333333333333	47
barcode72	lpa5104	1	14	2026-02-02T14:14:00Z	NA19190	4	0.7833333333333333	47
barcode69	lpa5104	2	15	2026-02-02T14:14:00Z	HG03765	11	0.7833333333333333	47
barcode68	lpa5104	9	16	2026-02-02T14:14:00Z	HG03234	16	0.7833333333333333	47
barcode65	lpa5104	4	17	2026-02-02T14:14:00Z	HG01593	15	0.7833333333333333	47
barcode70	lpa5104	3	11	2026-02-02T14:28:00Z	NA18868	14	1.0166666666666666	61
barcode71	lpa5104	3	12	2026-02-02T14:28:00Z	NA19098	13	1.0166666666666666	61
barcode67	lpa5104	2	13	2026-02-02T14:28:00Z	HG02778	13	1.0166666666666666	61
barcode72	lpa5104	1	14	2026-02-02T14:28:00Z	NA19190	5	1.0166666666666666	61
barcode69	lpa5104	2	15	2026-02-02T14:28:00Z	HG03765	12	1.0166666666666666	61
barcode68	lpa5104	9	16	2026-02-02T14:28:00Z	HG03234	17	1.0166666666666666	61
barcode65	lpa5104	4	17	2026-02-02T14:28:00Z	HG01593	16	1.0166666666666666	61
barcode66	lpa5104	7	18	2026-02-02T14:28:00Z	HG02657	15	1.0166666666666666	61
barcode71	lpa5104	3	12	2026-02-02T14:32:00Z	NA19098	14	1.0833333333333333	65
barcode67	lpa5104	2	13	2026-02-02T14:32:00Z	HG02778	14	1.0833333333333333	65
barcode72	lpa5104	1	14	2026-02-02T14:32:00Z	NA19190	6	1.0833333333333333	65
barcode69	lpa5104	2	15	2026-02-02T14:32:00Z	HG03765	13	1.0833333333333333	65
barcode68	lpa5104	9	16	2026-02-02T14:32:00Z	HG03234	18	1.0833333333333333	65
barcode65	lpa5104	4	17	2026-02-02T14:32:00Z	HG01593	17	1.0833333333333333	65
barcode66	lpa5104	7	18	2026-02-02T14:32:00Z	HG02657	16	1.0833333333333333	65
barcode70	lpa5104	12	19	2026-02-02T14:32:00Z	NA18868	15	1.0833333333333333	65
barcode72	lpa5104	1	14	2026-02-02T14:34:00Z	NA19190	7	1.1166666666666667	67
barcode69	lpa5104	2	15	2026-02-02T14:34:00Z	HG03765	14	1.1166666666666667	67
barcode68	lpa5104	9	16	2026-02-02T14:34:00Z	HG03234	19	1.1166666666666667	67
barcode65	lpa5104	4	17	2026-02-02T14:34:00Z	HG01593	18	1.1166666666666667	67
barcode66	lpa5104	7	18	2026-02-02T14:34:00Z	HG02657	17	1.1166666666666667	67
barcode70	lpa5104	12	19	2026-02-02T14:34:00Z	NA18868	16	1.1166666666666667	67
barcode67	lpa5104	16	20	2026-02-02T14:34:00Z	HG02778	15	1.1166666666666667	67
barcode71	lpa5104	28	21	2026-02-02T14:34:00Z	NA19098	15	1.1166666666666667	67
barcode69	lpa5104	2	15	2026-02-02T14:36:00Z	HG03765	15	1.15	69
barcode65	lpa5104	4	17	2026-02-02T14:36:00Z	HG01593	19	1.15	69
barcode66	lpa5104	7	18	2026-02-02T14:36:00Z	HG02657	18	1.15	69
barcode70	lpa5104	12	19	2026-02-02T14:36:00Z	NA18868	17	1.15	69
barcode67	lpa5104	16	20	2026-02-02T14:36:00Z	HG02778	16	1.15	69
barcode71	lpa5104	28	21	2026-02-02T14:36:00Z	NA19098	16	1.15	69
barcode68	lpa5104	31	22	2026-02-02T14:36:00Z	HG03234	20	1.15	69
barcode72	lpa5104	4	23	2026-02-02T14:36:00Z	NA19190	8	1.15	69
barcode66	lpa5104	7	18	2026-02-02T14:41:00Z	HG02657	19	1.2333333333333334	74
barcode70	lpa5104	12	19	2026-02-02T14:41:00Z	NA18868	18	1.2333333333333334	74
barcode67	lpa5104	16	20	2026-02-02T14:41:00Z	HG02778	17	1.2333333333333334	74
barcode71	lpa5104	28	21	2026-02-02T14:41:00Z	NA19098	17	1.2333333333333334	74
barcode68	lpa5104	31	22	2026-02-02T14:41:00Z	HG03234	21	1.2333333333333334	74
barcode72	lpa5104	4	23	2026-02-02T14:41:00Z	NA19190	9	1.2333333333333334	74
barcode65	lpa5104	23	24	2026-02-02T14:41:00Z	HG01593	20	1.2333333333333334	74
barcode69	lpa5104	3	25	2026-02-02T14:41:00Z	HG03765	16	1.2333333333333334	74
barcode70	lpa5104	12	19	2026-02-02T14:56:00Z	NA18868	19	1.4833333333333334	89
barcode67	lpa5104	16	20	2026-02-02T14:56:00Z	HG02778	18	1.4833333333333334	89
barcode71	lpa5104	28	21	2026-02-02T14:56:00Z	NA19098	18	1.4833333333333334	89
barcode68	lpa5104	31	22	2026-02-02T14:56:00Z	HG03234	22	1.4833333333333334	89
barcode72	lpa5104	4	23	2026-02-02T14:56:00Z	NA19190	10	1.4833333333333334	89
barcode65	lpa5104	23	24	2026-02-02T14:56:00Z	HG01593	21	1.4833333333333334	89
barcode69	lpa5104	3	25	2026-02-02T14:56:00Z	HG03765	17	1.4833333333333334	89
barcode66	lpa5104	27	26	2026-02-02T14:56:00Z	HG02657	20	1.4833333333333334	89
barcode70	lpa5104	12	19	2026-02-02T14:59:00Z	NA18868	20	1.5333333333333334	92
barcode67	lpa5104	16	20	2026-02-02T14:59:00Z	HG02778	19	1.5333333333333334	92
barcode71	lpa5104	28	21	2026-02-02T14:59:00Z	NA19098	19	1.5333333333333334	92
barcode72	lpa5104	4	23	2026-02-02T14:59:00Z	NA19190	11	1.5333333333333334	92
barcode65	lpa5104	23	24	2026-02-02T14:59:00Z	HG01593	22	1.5333333333333334	92
barcode69	lpa5104	3	25	2026-02-02T14:59:00Z	HG03765	18	1.5333333333333334	92
barcode66	lpa5104	27	26	2026-02-02T14:59:00Z	HG02657	21	1.5333333333333334	92
barcode68	lpa5104	75	27	2026-02-02T14:59:00Z	HG03234	23	1.5333333333333334	92
barcode67	lpa5104	16	20	2026-02-02T15:00:00Z	HG02778	20	1.55	93
barcode71	lpa5104	28	21	2026-02-02T15:00:00Z	NA19098	20	1.55	93
barcode72	lpa5104	4	23	2026-02-02T15:00:00Z	NA19190	12	1.55	93
barcode65	lpa5104	23	24	2026-02-02T15:00:00Z	HG01593	23	1.55	93
barcode69	lpa5104	3	25	2026-02-02T15:00:00Z	HG03765	19	1.55	93
barcode66	lpa5104	27	26	2026-02-02T15:00:00Z	HG02657	22	1.55	93
barcode68	lpa5104	75	27	2026-02-02T15:00:00Z	HG03234	24	1.55	93
barcode70	lpa5104	42	28	2026-02-02T15:00:00Z	NA18868	21	1.55	93
barcode71	lpa5104	28	21	2026-02-02T15:03:00Z	NA19098	21	1.6	96
barcode72	lpa5104	4	23	2026-02-02T15:03:00Z	NA19190	13	1.6	96
barcode65	lpa5104	23	24	2026-02-02T15:03:00Z	HG01593	24	1.6	96
barcode69	lpa5104	3	25	2026-02-02T15:03:00Z	HG03765	20	1.6	96
barcode66	lpa5104	27	26	2026-02-02T15:03:00Z	HG02657	23	1.6	96
barcode68	lpa5104	75	27	2026-02-02T15:03:00Z	HG03234	25	1.6	96
barcode70	lpa5104	42	28	2026-02-02T15:03:00Z	NA18868	22	1.6	96
barcode67	lpa5104	72	29	2026-02-02T15:03:00Z	HG02778	21	1.6	96
barcode72	lpa5104	4	23	2026-02-02T15:04:00Z	NA19190	14	1.6166666666666667	97
barcode65	lpa5104	23	24	2026-02-02T15:04:00Z	HG01593	25	1.6166666666666667	97
barcode69	lpa5104	3	25	2026-02-02T15:04:00Z	HG03765	21	1.6166666666666667	97
barcode66	lpa5104	27	26	2026-02-02T15:04:00Z	HG02657	24	1.6166666666666667	97
barcode68	lpa5104	75	27	2026-02-02T15:04:00Z	HG03234	26	1.6166666666666667	97
barcode70	lpa5104	42	28	2026-02-02T15:04:00Z	NA18868	23	1.6166666666666667	97
barcode67	lpa5104	72	29	2026-02-02T15:04:00Z	HG02778	22	1.6166666666666667	97
barcode71	lpa5104	83	30	2026-02-02T15:04:00Z	NA19098	22	1.6166666666666667	97
barcode69	lpa5104	3	25	2026-02-02T15:06:00Z	HG03765	22	1.65	99
barcode66	lpa5104	27	26	2026-02-02T15:06:00Z	HG02657	25	1.65	99
barcode68	lpa5104	75	27	2026-02-02T15:06:00Z	HG03234	27	1.65	99
barcode70	lpa5104	42	28	2026-02-02T15:06:00Z	NA18868	24	1.65	99
barcode67	lpa5104	72	29	2026-02-02T15:06:00Z	HG02778	23	1.65	99
barcode71	lpa5104	83	30	2026-02-02T15:06:00Z	NA19098	23	1.65	99
barcode72	lpa5104	11	31	2026-02-02T15:06:00Z	NA19190	15	1.65	99
barcode65	lpa5104	49	32	2026-02-02T15:06:00Z	HG01593	26	1.65	99
barcode66	lpa5104	27	26	2026-02-02T15:13:00Z	HG02657	26	1.7666666666666666	106
