format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6494	0	0	332	6162	313	654	0	5195	False
%	lpa5104	100	0	0	5	94	5	10	0	79	False
