sample	target	n_cluster	task_index
barcode70	lpa5104	1340	111
barcode67	lpa5104	1314	112
barcode69	lpa5104	974	113
barcode71	lpa5104	1300	114
barcode72	lpa5104	1258	115
barcode66	lpa5104	1247	116
barcode68	lpa5104	1625	117
barcode65	lpa5104	1633	118
