format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6923	0	0	479	6444	458	590	1	5395	False
%	lpa5104	100	0	0	6	93	7	9	0	77	False
