sample	target	n_cluster	task_index
barcode69	lpa5104	2	15
barcode65	lpa5104	4	17
barcode66	lpa5104	7	18
barcode70	lpa5104	12	19
barcode67	lpa5104	16	20
barcode71	lpa5104	28	21
barcode68	lpa5104	31	22
barcode72	lpa5104	4	23
