sample	target	n_cluster	task_index
barcode70	lpa5104	79	36
barcode67	lpa5104	153	38
barcode71	lpa5104	152	39
barcode72	lpa5104	30	40
barcode69	lpa5104	38	41
barcode68	lpa5104	235	42
barcode66	lpa5104	136	43
barcode65	lpa5104	171	44
