format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	6858	0	0	359	6499	351	715	0	5433	False
%	lpa5104	100	0	0	5	94	5	11	0	79	False
