task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
252	6c/057166	2291134	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:41:02.645	3m 47s	3m 45s	167.8%	3.7 GB	183.7 GB	61.2 MB	37.2 MB
249	ba/a37224	2277751	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:40:44.705	4m 14s	4m 11s	164.8%	3.9 GB	183.9 GB	61.5 MB	37.4 MB
251	01/03beac	2289811	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:41:01.023	4m 13s	4m 9s	168.9%	3.2 GB	182.6 GB	61.5 MB	37.4 MB
253	49/62625a	2301402	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:41:18.880	4m 23s	4m 20s	168.7%	3.4 GB	183.2 GB	61.6 MB	37.4 MB
255	97/f874dd	2331791	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:42:10.090	3m 50s	3m 47s	157.3%	2.8 GB	183.9 GB	60.9 MB	37.1 MB
281	58/1530f7	2356384	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:42:42.421	3m 44s	3m 41s	169.6%	3.6 GB	183.8 GB	61.1 MB	37.2 MB
258	5a/74b957	2372394	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:43:04.606	3m 23s	3m 20s	171.7%	3.4 GB	183.8 GB	60.8 MB	37 MB
254	d7/528f45	2319739	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:41:53.436	4m 50s	4m 47s	161.6%	3.8 GB	184 GB	61.9 MB	37.5 MB
256	19/67430c	2345660	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:42:27.111	4m 23s	4m 21s	159.3%	2.7 GB	183.5 GB	61.5 MB	37.4 MB
259	37/83d2e7	2373951	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:43:07.803	3m 43s	3m 40s	173.2%	3.3 GB	181.9 GB	61.2 MB	37.2 MB
257	4c/5b5908	2365018	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:42:53.567	3m 58s	3m 54s	173.8%	3.1 GB	182.5 GB	61.5 MB	37.3 MB
260	ec/20c9ae	2395023	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:43:47.653	4m 3s	4m 1s	160.7%	2.4 GB	183.3 GB	61.2 MB	37.2 MB
261	e6/1821ad	2392023	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:43:41.778	4m 26s	4m 22s	161.9%	3.8 GB	183.9 GB	61.5 MB	37.3 MB
267	87/8d5c41	2440458	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:44:50.125	3m 24s	3m 21s	168.4%	2.3 GB	183 GB	60.8 MB	37 MB
262	e2/d5514d	2423040	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:44:30.409	3m 53s	3m 50s	170.6%	3.6 GB	181.3 GB	61.4 MB	37.3 MB
268	4f/7d5dfa	2455267	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:45:13.623	3m 24s	3m 21s	167.2%	3.3 GB	183.1 GB	60.8 MB	37 MB
263	a9/972300	2435302	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:44:43.344	4m 9s	4m 5s	164.3%	2.9 GB	182.1 GB	61.4 MB	37.3 MB
264	51/dbd5c2	2435133	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:44:42.608	4m 29s	4m 27s	159.7%	2.8 GB	183.9 GB	61.6 MB	37.4 MB
266	77/a7f2c1	2446219	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:44:58.534	4m 24s	4m 19s	165.2%	3.8 GB	183.9 GB	61.6 MB	37.4 MB
269	70/f1ef96	2482703	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:46:00.236	3m 42s	3m 39s	171.8%	3.4 GB	181.8 GB	61.2 MB	37.2 MB
272	8d/390272	2505199	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:46:27.334	3m 28s	3m 25s	161.7%	2.3 GB	183 GB	60.8 MB	37 MB
265	53/62eacb	2469996	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:45:41.866	4m 16s	4m 12s	174.4%	3.6 GB	183.6 GB	61.7 MB	37.5 MB
275	f6/ed0de8	2516630	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:46:43.060	3m 40s	3m 37s	161.8%	3.3 GB	183.4 GB	60.9 MB	37.1 MB
271	74/216144	2521844	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:46:50.240	3m 40s	3m 37s	171.0%	2.7 GB	183.6 GB	61.1 MB	37.2 MB
270	4f/d2b604	2504822	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:46:26.788	4m 6s	4m 3s	161.7%	3.1 GB	182.7 GB	61.4 MB	37.3 MB
273	7b/e27a3c	2522498	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:46:51.764	3m 44s	3m 41s	166.0%	2.6 GB	183.3 GB	61.1 MB	37.1 MB
274	81/4d84a0	2522022	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:46:50.807	4m 11s	4m 7s	163.8%	2.8 GB	183.9 GB	61.4 MB	37.3 MB
278	73/08df29	2571705	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:48:13.855	3m 29s	3m 26s	164.1%	3.1 GB	182 GB	60.8 MB	37 MB
276	39/bb829c	2554467	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:47:51.159	4m 2s	3m 59s	167.3%	2.8 GB	183.9 GB	61.4 MB	37.3 MB
282	0f/4e6da3	2589263	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:48:37.567	3m 21s	3m 18s	170.5%	3.2 GB	182.6 GB	60.8 MB	37 MB
277	33/75f6d0	2578948	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:48:23.094	3m 43s	3m 40s	170.3%	2.9 GB	181.5 GB	61.2 MB	37.2 MB
279	df/d4c0b1	2566643	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:48:07.439	4m 2s	3m 59s	167.9%	2.8 GB	184 GB	61.5 MB	37.3 MB
280	5d/66b69d	2611149	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:49:11.888	3m 16s	3m 14s	178.9%	3.4 GB	183.2 GB	61 MB	37.1 MB
283	e2/2733ca	2597565	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:48:52.384	3m 37s	3m 34s	177.9%	3.5 GB	181.3 GB	61.3 MB	37.2 MB
