format	region	reads_found	reads_unmapped	reads_secondary	reads_supplementary	reads_on_target	reads_concatamer	reads_short	reads_long	reads_filtered	include_secondary
count	lpa5104	7001	0	0	398	6603	377	749	1	5476	False
%	lpa5104	100	0	0	5	94	5	11	0	78	False
